Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank
46,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0757773810314894,0.075777,59.643031,0.01,0
47,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,4,1.3,0.0709439842645044,0.070944,60.615782,0.01,0
48,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,4,1.5,0.0622890779697781,0.062289,59.018557,0.01,0
49,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,4,1.7,0.0588945701699353,0.058895,60.397622,0.01,0
50,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,4,1.1,0.0767988110503933,0.076799,44.250181,0.01,0
51,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0878031675427802,0.087803,42.838829,0.01,0
52,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,5,1.3,0.0881135840478727,0.088114,44.104512,0.01,0
53,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,5,1.5,0.0650254843863487,0.065025,59.25987,0.01,0
54,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7,0.057653363714361,0.057653,57.689268,0.01,0
55,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,5,1.1,0.0675863362456174,0.067586,69.712737,0.01,0
56,wade,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0773204980707382,0.07732,51.014098,0.01,0
57,wade,48,hexagonal,6,8,L2norm,noPCA,1500,0.05,0.01,6,1.3,0.0753594438168729,0.075359,66.48573,0.01,0
58,wade,54,hexagonal,6,9,L2norm,noPCA,1500,0.05,0.01,6,1.5,0.0676077857180124,0.067608,69.689051,0.01,0
59,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7,0.0607627180213784,0.060763,63.070386,0.01,0
60,wade,56,hexagonal,7,8,L2norm,noPCA,1500,0.05,0.01,6,1.1,0.0668037516744097,0.066804,74.724535,0.01,0
