Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,obs72,obs73,obs74,obs75,obs76,obs77,obs78,obs79,obs80,obs81,obs82,obs83,obs84,obs85,obs86,obs87,obs88,obs89,obs90,obs91,obs92,obs93,obs94,obs95,obs96,obs97,obs98
44,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7,0.0574603521098201,0.05746,65.183217,0.01,0,1,1,1,1,1,5,5,1,1,1,5,5,2,5,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,4,4,1,1,5,2,5,2,2,2,2,2,5,5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,1,5,5,6,5,5,5,5,5,5,6
45,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,6,1.1,0.0633922225629236,0.063392,67.444293,0.01,0,5,5,5,5,3,3,6,5,3,5,4,4,4,4,4,6,6,6,6,6,6,6,1,1,1,1,1,1,1,5,5,5,5,3,5,5,6,3,6,3,6,6,6,6,4,4,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,5,5,5,3,5,3,3,3,3,3,5,3,3,3,3,5,3,3,2,4,3,3,4,3,4,2
46,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0757773810314894,0.075777,59.643031,0.01,0,4,4,4,4,4,2,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,2,4,2,2,1,2,2,2,2,2,2,1
47,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,4,1.3,0.0709439842645044,0.070944,60.615782,0.01,0,4,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,3,1,3,3,3,3,3,3,1
48,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,4,1.5,0.0622890779697781,0.062289,59.018557,0.01,0,4,4,4,4,2,2,2,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,2,2,3,2,2,2,2,2,2,3
49,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,4,1.7,0.0588945701699353,0.058895,60.397622,0.01,0,2,2,2,2,2,4,4,2,4,2,4,1,1,1,1,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,4,4,2,4,4,3,4,4,4,4,4,4,3
50,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,4,1.1,0.0767988110503933,0.076799,44.250181,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,4
51,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0878031675427802,0.087803,42.838829,0.01,0,1,1,1,1,3,3,3,1,3,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,1,1,2,3,2,3,2,2,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,4,4,4,4,4,4,4,4,4,4,1,3,3,3,3,1,3,3,5,3,3,3,3,3,3,5
52,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,5,1.3,0.0881135840478727,0.088114,44.104512,0.01,0,5,5,5,5,5,2,2,5,5,5,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,1,5,5,5,2,2,2,2,2,2,2,4,4,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,5,5,5,5,5,1,5,1,1,1,1,5,5,5,2,2,2,5,2,2,3,2,2,2,2,2,2,3
53,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,5,1.5,0.0650254843863487,0.065025,59.25987,0.01,0,2,1,1,2,4,4,2,1,4,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,1,1,1,1,1,2,2,2,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,4,4,5,4,4,4,4,4,4,5
54,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7,0.057653363714361,0.057653,57.689268,0.01,0,4,4,4,5,4,4,4,5,4,5,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,4,4,4,5,4,5,5,2,2,2,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,4,4,4,3
55,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,5,1.1,0.0675863362456174,0.067586,69.712737,0.01,0,1,1,1,1,1,3,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,4,4,4,4,1,1,1,1,3,1,1,1,2,2,3,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,3,1,1,1,3,1,3,3,3,3,1,1,3,3,3,3,1,3,3,5,3,3,3,3,3,3,5
56,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0773204980707382,0.07732,51.014098,0.01,0,1,1,1,1,2,2,2,6,1,1,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,1,1,1,1,1,1,1,5,5,5,2,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,3,2,2,2,2,2,2,3
57,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,6,1.3,0.0753594438168729,0.075359,66.48573,0.01,0,6,6,6,6,6,3,3,6,6,6,3,3,3,3,3,5,5,5,5,5,5,5,4,4,4,4,4,4,4,6,6,1,6,1,6,6,6,5,5,1,5,5,5,5,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,2
58,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,6,1.5,0.0676077857180124,0.067608,69.689051,0.01,0,5,5,5,5,5,2,2,5,5,5,4,4,4,4,4,6,6,6,6,6,6,6,1,1,1,1,1,1,1,1,5,5,5,2,5,5,5,4,4,2,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,2,5,5,5,2,5,2,2,2,2,2,5,2,2,2,2,5,2,2,3,4,2,2,4,2,4,3
59,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7,0.0607627180213784,0.060763,63.070386,0.01,0,2,2,2,2,1,5,5,2,2,2,5,5,5,5,5,3,3,3,3,3,3,3,4,4,4,4,4,4,4,1,1,1,2,1,2,2,2,3,3,1,3,3,3,3,5,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5,5,5,5,5,6
60,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,6,1.1,0.0668037516744097,0.066804,74.724535,0.01,0,1,2,2,1,2,4,4,1,1,1,4,4,4,4,4,6,6,6,6,6,6,6,5,5,5,5,5,5,5,1,1,2,1,2,1,1,1,4,4,2,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,1,1,1,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,3,2,2,4,2,4,2,3
