Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,obs72,obs73,obs74,obs75,obs76,obs77,obs78,obs79,obs80,obs81,obs82,obs83,obs84,obs85,obs86,obs87,obs88,obs89,obs90,obs91,obs92,obs93,obs94,obs95,obs96,obs97,obs98
13,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,6,1.5,0.0711174228631571,0.071117,63.369768,0.01,0,1,1,1,5,1,1,1,6,1,5,2,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,1,6,1,6,1,6,6,5,1,1,1,5,5,5,5,2,2,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,6,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,1,1,1,3
14,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7,0.0589008481362935,0.058901,59.401008,0.01,0,1,1,1,1,5,5,5,1,5,1,5,5,5,5,5,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,4,4,4,2,2,2,5,2,2,2,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,1,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,5,5,6,5,5,5,5,5,5,6
15,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,6,1.1,0.0755513792839525,0.075551,54.089963,0.01,0,4,4,4,4,4,3,3,4,4,4,2,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,4,5,5,5,4,5,5,5,5,2,2,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,4,3,4,4,4,3,4,3,3,3,3,3,4,4,3,3,4,4,4,4,1,3,2,2,3,2,3,1
16,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0804358653456975,0.080436,60.487692,0.01,0,3,3,3,3,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,2,2,4,2,2,2,2,2,2,4
17,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,4,1.3,0.0875624033626932,0.087562,63.059726,0.01,0,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,4,4,4,4,4,4,4,3,3,4,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2
18,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,4,1.5,0.0692988723538672,0.069299,47.344723,0.01,0,3,3,3,3,3,2,2,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3,4,2,2,2,2,2,2,4
19,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,4,1.7,0.0538696682868004,0.05387,57.918083,0.01,0,4,4,4,4,2,2,2,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,2,2,3,2,2,2,2,2,2,3
20,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,4,1.1,0.0625203903687771,0.06252,48.21506,0.01,0,1,1,1,1,3,3,3,1,3,1,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,3,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,3,3,4,3,3,3,3,3,3,4
21,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0825590034668871,0.082559,67.092538,0.01,0,1,1,1,1,1,4,4,1,1,1,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,4,1,1,2,2,2,4,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,1,1,1,1,4,1,4,4,4,4,1,1,1,4,4,4,1,4,4,5,4,4,4,4,4,4,5
22,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,5,1.3,0.0753851903912407,0.075385,54.228748,0.01,0,3,3,3,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,5,4,2,2,4,2,4,5
23,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,5,1.5,0.0663962685334152,0.066396,49.097746,0.01,0,5,5,5,5,5,2,2,5,2,5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,1,5,5,5,2,2,2,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,1,1,1,1,5,1,1,1,1,1,5,2,2,2,2,5,2,2,3,2,2,2,2,2,2,3
24,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7,0.0615528704243606,0.061553,58.640575,0.01,0,4,4,4,4,1,1,1,4,1,4,3,3,3,3,3,5,5,5,5,5,5,5,3,3,3,3,3,3,3,4,4,4,4,1,4,4,4,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,1,1,1,4,1,4,1,1,1,1,1,4,1,1,1,1,4,1,1,2,1,1,1,1,1,1,2
25,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,5,1.1,0.067254063075127,0.067254,63.078923,0.01,0,4,4,4,1,4,2,2,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,1,1,1,4,1,1,4,2,2,4,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2,4,4,4,4,4,5
26,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.082575663188903,0.082576,72.614903,0.01,0,5,5,5,5,5,1,1,5,5,5,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,5,5,1,5,5,5,1,5,1,6,5,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,5,1,5,5,5,1,5,1,1,1,1,1,5,1,1,1,1,5,1,1,2,1,1,1,1,1,1,2
27,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,6,1.3,0.0758950533580329,0.075895,58.260369,0.01,0,6,6,6,6,6,2,2,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,6,6,6,6,5,6,6,2,2,2,6,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,6,5,5,5,6,5,6,5,5,5,5,5,6,6,1,1,1,6,1,1,4,1,1,1,1,1,1,4
28,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,6,1.5,0.0755695199260299,0.07557,60.561966,0.01,0,4,4,4,6,4,2,2,6,4,6,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,1,1,6,6,6,6,4,6,6,4,5,5,4,5,5,5,2,2,2,2,2,5,5,5,5,5,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,3
29,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7,0.0642386265614592,0.064239,65.675976,0.01,0,1,1,1,1,1,5,5,1,1,1,5,5,5,5,5,3,3,3,3,3,3,3,4,4,4,4,4,4,4,2,2,2,1,2,1,1,1,5,5,1,3,3,3,3,5,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,6,5,5,5,5,5,5,6
30,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,6,1.1,0.0573024375713939,0.057302,73.828192,0.01,0,4,4,4,1,4,4,4,1,4,1,5,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,1,1,4,1,1,4,4,4,4,4,4,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,4,1,4,4,4,4,1,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,6
31,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0809320922763731,0.080932,61.500116,0.01,0,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,1,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,2,2,2,4
32,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,4,1.3,0.0733771328919617,0.073377,46.70693,0.01,0,2,2,2,2,2,3,3,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,3,3,1,3,3,3,3,3,3,1
33,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,4,1.5,0.0753828484169194,0.075383,48.282231,0.01,0,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,4,2,4,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,3,2,2,2,2,2,2,3
34,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,4,1.7,0.0588063752815925,0.058806,41.812118,0.01,0,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,2,3,2,3,3,3,3,3,2,2,1,1,1,2,1,1,4,1,1,1,1,1,1,4
35,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,4,1.1,0.078343507837485,0.078344,45.270991,0.01,0,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,1,3,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4
36,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0821695485486131,0.08217,61.884611,0.01,0,1,1,1,1,1,1,1,5,1,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,5,1,5,1,5,5,4,4,4,1,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,5,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,5,1,1,2,1,1,1,1,1,1,2
37,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,5,1.3,0.0740341887896623,0.074034,61.076511,0.01,0,3,3,3,2,4,4,4,3,4,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,3,3,3,3,4,3,3,2,4,4,4,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,3,4,4,5,4,4,4,4,4,4,5
38,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,5,1.5,0.0695583728531765,0.069558,66.308199,0.01,0,3,3,3,3,4,4,4,3,4,3,4,4,4,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,4,4,4,2,2,2,2,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,5,4,4,4,4,4,4,5
39,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7,0.0611715300038244,0.061172,64.707374,0.01,0,5,5,5,5,5,3,3,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,5,5,5,5,3,5,5,5,3,4,3,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,3,5,3,3,3,3,5,5,5,3,3,5,5,5,5,2,3,3,3,3,3,3,2
40,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,5,1.1,0.0741498920228001,0.07415,65.706039,0.01,0,4,4,4,4,2,2,2,4,2,4,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,4,4,4,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,2,4,2,2,2,2,4,4,2,2,2,2,4,2,2,3,2,2,2,2,2,2,3
41,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0844726854223603,0.084473,53.449676,0.01,0,3,4,4,3,4,4,4,1,3,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,4,1,4,1,1,3,3,3,4,3,3,3,3,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,6
42,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,6,1.3,0.0794803135946578,0.07948,67.482069,0.01,0,3,3,3,3,3,4,4,3,3,3,4,4,4,4,4,2,2,2,2,2,2,2,1,1,1,1,1,1,1,3,3,3,3,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,3,5,3,5,5,5,5,5,3,4,4,4,4,3,4,4,6,4,4,4,4,4,4,6
43,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,6,1.5,0.0691395714846925,0.06914,55.861021,0.01,0,1,1,1,1,1,1,1,4,1,4,2,2,2,2,2,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,4,1,4,1,1,1,1,1,5,1,5,5,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,3
