site,SOM,event_start,season,clust_wat_4cl,clust_wat_5cl,clust_wat_6cl,NO3_kg_km2,SRP_kg_km2,event_NO3_SRP,rain_event_total_mm,rain_int_mmPERmin_max,API_4d,q_event_max,solarRad_4d,q_4d,SRP_1d,DO_pre_dry_15cm,Redox_pre_dry_15cm,DO_pre_wet_15cm,SoilTemp_pre_wet_15cm,VWC_pre_wet_30cm,time_sinceLastEvent,diff_airT_soilT,gw_1d_well1,gw_1d_well2,gw_1d_well3,gw_1d_well4a,gw_1d_well5,gw_1d_allWells,gw_4d_well1,gw_4d_well2,gw_4d_well3,gw_4d_well4a,gw_4d_well5,gw_4d_allWells
Wade,SRP_kg_km2,2017-11-01 19:15:00,fall,4,2,5,0.7106988872651469,0.04396885159506725,35.74313802815958,21,0.08,40.753919999999994,2.846549889,26.390625,0.94929287965625,0.0018479418932397613,0.8779893767822449,0.8553139934037821,0.47337373957556395,0.503522937013307,0.727651128685195,1.28125,-5.013090277777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,SRP_kg_km2,2017-11-03 07:00:00,fall,4,2,5,1.4534729111206812,0.06730430591600563,47.75471500141892,20.6,0.24,46.994253750000006,3.693582806,25.9765625,1.3371133195286458,0.003653804198922191,0.7005944025571231,0.6599111529918558,0.24759286931297853,0.5648959635133985,0.7752295395892301,0.010416666666666666,4.564583333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,SRP_kg_km2,2017-11-05 18:30:00,fall,4,2,5,1.3584159323036218,0.07482682761917094,40.144642876808454,20.400000000000002,0.2,55.16655625,3.055094561,27.31423611111111,1.543542895578125,0.0019319898806362612,0.9032470880952892,0.882223867537188,0.39638133003529585,0.4615581161435838,0.7709470437595523,0.7083333333333334,-3.0458333333333343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,SRP_kg_km2,2017-11-16 06:00:00,fall,4,2,2,0.1558786511118401,3.1004223738282635e-4,1111.7776574221195,6,0.12,9.346517500000001,0.214675539,33.65711805555556,0.068851248796875,2.2294992796053438e-4,0.9913271839224307,0.5011901918404111,0.9982706827257538,0.22275464007343215,0.5084488599754742,8.260416666666666,-3.711571180555555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,SRP_kg_km2,2017-11-19 00:00:00,fall,4,2,2,NA,NA,NA,16.8,0.16,22.2872,2.722017703,25.891493055555557,0.093405142078125,2.232184500752065e-4,0.9000250618202497,0.6119011345066787,0.8488991995836149,0.218056225399443,0.5211273460395317,0.9583333333333334,-7.763524305555555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,SRP_kg_km2,2017-11-25 13:00:00,fall,4,2,2,0.4806426290131809,0.0010000568745938052,1062.795610978109,4.2,0.08,6.965283750000001,0.671882001,24.588541666666668,0.17163631751041666,2.1989475687251558e-4,0.9138845685183894,0.5430803551270154,0.8881447358093518,0.13637776808035135,0.7403059347730847,2.21875,-1.5819184027777775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,SRP_kg_km2,2017-11-27 23:30:00,fall,4,2,2,0.20239309402972694,1.8274067599667064e-4,2449.134453549505,0,0,5.04813375,0.534843687,13.252604166666666,0.21457579354427084,1.9261211681769686e-4,0.9810447660350865,0.5659139825981016,0.9149199681961291,0.14600384034383676,0.7671788791789718,0.3958333333333333,-9.473263888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,SRP_kg_km2,2017-11-28 22:45:00,fall,4,2,2,0.6818563129750962,0.001725145240419788,874.0159673889531,8.200000000000001,0.08,16.3253025,1.256115335,10.330729166666666,0.24921636928385416,1.614508915026533e-4,0.9282018999191441,0.5064048032995846,0.820365076251268,0.13991298602781393,0.7583633984146613,0.21875,-8.536875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,SRP_kg_km2,2017-11-30 21:00:00,fall,4,2,2,0.4558097719033572,6.616032881721907e-4,1523.4848574957473,5.6000000000000005,0.12,16.95345,0.62296082,17.141493055555557,0.351683743046875,2.585824187601535e-4,0.9409089265939933,0.5551944370751843,0.7741257141265889,0.106705065175674,0.765104333952974,0.3541666666666667,-5.705590277777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,SRP_kg_km2,2017-12-05 13:00:00,winter,4,2,2,1.6834575874113271,0.0036931717533974567,1007.9867873967504,9.200000000000001,0.12,9.200000000000001,2.660143121,26.608506944444443,0.17221371130729166,1.6342091472322027e-4,0.992938023067792,0.7049873104476243,0.7594439523303012,0.11880711702304372,0.738529246763729,3.4270833333333335,-0.0173958333333335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,SRP_kg_km2,2018-04-12 12:45:00,spring,4,4,2,1.0264145368317923,0.008531343820260051,266.0464785202951,20.6,0.27999999999999997,20.6,1.475215574,118.24565972222223,0.007505199742187501,0.0017308997908681634,0.8184068057192507,0.6242076529549451,0.4233548985539727,0.0081575533034069,0.7880794112578835,5.802083333333333,1.0373133680555557,-0.160291401859375,-0.07745889205729166,0.009708290869791667,-0.09237496919791667,-0.5139067162604166,0.7110548457104442,-0.44394523089453125,-0.07230351052083334,-0.068261703765625,-0.08542578062369792,-0.3548646963541667,0.6164330385806409
Wade,SRP_kg_km2,2018-04-13 15:30:00,spring,4,4,2,2.260986740768238,0.016646653487084856,300.34696059999897,11.8,0.08,31.104,2.675587258,95.93142361111111,0.17450822053645834,0.0021333728321652726,0.7693657080457896,0.5176606285841536,0.5154065139814176,0.005120922211270158,0.8431686607152834,0.010416666666666666,3.354409722222222,-0.065339703640625,-0.055748185802083336,0.020270815838541668,-0.060980273729166666,-0.2671062081822917,0.8803725130059602,-0.3063921480494792,-0.06827187733072916,-0.03219140105078125,-0.08054714551953125,-0.3446100610611979,0.7064052165132069
Wade,SRP_kg_km2,2018-04-16 13:45:00,spring,4,2,2,0.2812024142416483,0.001837769485886511,338.3609020216583,17,0.12,46.257149999999996,0.185770786,56.868923611111114,0.5036668142213542,0.0018197951885625685,0.8403909433769537,0.605008120790256,0.4600809135115823,0.009878186404471384,0.809184148581289,1.3958333333333333,-1.8951909722222222,-0.13459378330208333,-0.05907817078125,0.012437550786458333,-0.061906306625,-0.26276036672395836,0.8477719389593804,-0.09030991000260417,-0.057539186979166664,0.015002626434895833,-0.053703144811197916,-0.26197009392578124,0.883163344288595
Wade,SRP_kg_km2,2018-04-22 10:45:00,spring,4,4,2,0.06745677047512737,5.586017078844615e-4,267.0394663657781,0,0,10.506809999999998,0.129874686,74.72482638888889,0.019777415231770835,0.001964872169358414,0.7860576230765212,0.5777316724660485,0.407825754111126,0.012793111391102127,0.8014258390252829,4.239583333333333,0.9433246527777777,-0.102786399234375,-0.060104090078125,0.02729170496875,-0.05035946742708333,-0.08775520583854167,0.9332277447557104,-0.11229556463020833,-0.058917937390625,0.0197291903359375,-0.059428391817708336,-0.1927134855078125,0.896543283775657
Wade,SRP_kg_km2,2018-04-23 10:45:00,spring,4,4,2,0.24945882511589662,0.002110379136680872,261.3909536375848,0,0,8.74342,0.514692921,111.84114583333333,0.02560431965625,0.0020864590628786274,0.8839921053095126,0.5029919298484263,0.4966804891758446,0.016555862948112232,0.8041587562069809,0.010416666666666666,2.659548611111111,-0.09989060086979167,-0.06335933917708333,0.025390694901041667,-0.051911349234375,-0.08503121003125,0.9286384445145925,-0.10970833004817708,-0.060494761967447915,0.02290759801171875,-0.05732811057421875,-0.14955464403385416,0.9141576228890932
Wade,SRP_kg_km2,2018-04-24 10:15:00,spring,3,4,3,2.2828194679004308,0.012338220005147012,409.1393237108826,0,0,6.164526249999999,2.667863146,150.58506944444446,0.06857718977864584,0.0019684338024174197,0.8472775912762722,0.6640469762058049,0.4625597426728435,0.02103647031933367,0.8192250280172599,0.010416666666666666,7.3770138888888885,-0.12109369753125,-0.095073310515625,0.012317730005208333,-0.078333280890625,-0.10233332252604167,0.8490221293732858,-0.11466590029817708,-0.0702268236171875,0.022730317354166668,-0.06024570184375,-0.1139605417421875,0.9095672602954531
Wade,SRP_kg_km2,2018-04-25 10:00:00,spring,3,4,3,NA,NA,NA,24.6,0.12,30.30154375,3.318759674,190.27604166666666,0.42381288778125,0.0015515740783718314,0.7616782970461655,0.7987104116102662,0.415507553481745,0.01718591968892156,0.875093504312648,0.010416666666666666,8.282534722222223,-0.11131770503125,-0.093203180765625,0.010364612463541667,-0.08237495003125,-0.08927090075520833,0.8549455213859061,-0.10881116316796875,-0.07775659284244792,0.01893753975,-0.06563799355989583,-0.09148177124609375,0.903023717222603
Wade,SRP_kg_km2,2018-05-20 07:15:00,spring,1,1,1,0.017787981651578744,2.550536693007592e-4,154.22233075950007,8.8,0.12,11.84,0.067371502,166.8515625,0.007301319999069941,0.0014524180418846386,0.6521844183786158,0.3038791086537998,0.5093122534927992,0.5168695289540082,0.6301094124246627,14.739583333333334,2.7837152777777767,-0.17786984744270834,-0.09392712664583333,0.015489568354166667,-0.07389063746354167,-0.24337020884895832,0.789823431216992,-0.18213020708463543,-0.09834894626432292,0.014738300186197916,-0.07463931000651042,-0.2341330283828125,0.7895673930118813
Wade,SRP_kg_km2,2018-06-14 07:30:00,summer,1,1,1,NA,NA,NA,29,0.4,29,0.082316726,181.484375,0.0012273467070312509,0.0012654141715793944,0.5815090324508096,0.29604206926134063,0.801345314868813,0.6248276417758067,0.3296115818596296,24.194444444444443,7.486076388888886,-0.3508333209010417,-0.1081719191875,-0.01008343084375,-0.22310939169270833,-0.3621354109166667,0.5567532694136846,-0.4175755135559896,-0.1103151135703125,0.0020533377252604165,-0.26419261611067707,-0.4832226421236979,0.457387772229076
Wade,SRP_kg_km2,2018-06-18 12:45:00,summer,1,1,1,0.014718132590942488,4.848378972603463e-4,67.12871245067562,24,0.27999999999999997,38.56955624999999,0.038884475,151.70225694444446,0.010786126713107639,0.004328783522653732,0.5135965766961433,0.31065517546006,0.6179468850745561,0.7036322547509194,0.5499697021167494,2.9756944444444446,9.0203125,-0.3728697933333333,-0.10633331417708333,-0.023119774177083333,-0.22980645819270834,-0.4535103791927083,0.5077092210726235,-0.23715562026822917,-0.09480998116796875,-0.008096936391927084,-0.12595476618489584,-0.2717341158476563,0.7080810875884362
Wade,SRP_kg_km2,2018-07-25 22:15:00,summer,1,1,1,0.021802321261459316,2.932164423685388e-4,164.42451898885108,38.800000000000004,0.44000000000000006,45.90854125,0.037104686,89.95659722222223,3.9870391536458424e-4,0.0020506149130280404,0.45692243027979246,0.4547814608749216,0.7342596561337351,0.9450527590179991,0,35.99652777777778,5.525477430555554,-0.6190875241979167,-0.21484912819270832,-0.23779156921875,-0.30759327288541666,-0.6123162686458333,0.030291306415559285,-0.6022820495664063,-0.20539700655989584,-0.23252596068359374,-0.3139778416966146,-0.6152379448697917,0.010944658632756874
Wade,SRP_kg_km2,2018-07-27 20:45:00,summer,1,3,4,0.014030790898763225,2.410539720408228e-4,128.712292507794,10,0.24,45.198924999999996,0.064410944,103.40798611111111,0.003809435726562501,0.0029097130929182694,0.35127608675698757,0.5188624810562873,0.4745276715621908,0.997997914689484,0.6465820048635502,0.7951388888888888,1.8175694444444446,-0.22960910688020833,-0.13182799675520834,-0.021604175807291667,-0.12795289933333334,-0.262369790828125,0.6560166937382654,-0.396250711109375,-0.156628920609375,-0.12188401049479167,-0.2180205918671875,-0.40114006442057293,0.374521847294617
Wade,SRP_kg_km2,2018-08-17 23:45:00,summer,1,1,1,0.2560245808704009,0.010348832571168875,54.70694566770411,31.6,0.5599999999999999,42.282275,2.772501457,88.73958333333333,7.876157786458343e-4,0.0026703982986785594,0.3460357208272317,0.4039577445346208,0.5455672678600776,1,0.31244699943424564,20.43402777777778,-0.2937239583333344,-0.4841703545625,-0.12221328520833333,-0.008734365854166667,-0.24562950891666666,-0.5126883801041667,0.43004610774130975,-0.4555904532734375,-0.1262809007174479,-0.015899934223958332,-0.23834744913671874,-0.47894814045833334,0.42854986311640003
Wade,SRP_kg_km2,2018-09-03 14:45:00,fall,1,1,1,0.5354531070728092,0.016685433426327608,70.96367787595725,51.8,0.76,51.8,3.0353313445000003,85.51215277777777,5.998918541666677e-4,0.0027719484385965447,0.4567036506879857,0.4009431414502784,0.7047315930525949,0.94300063831191006,0.15578782952625675,15.48263888888889,6.849583333333332,-0.64837875365625,-0.18086961594270834,-0.21294261341145834,-0.326984356671875,-0.6119948133072917,0.06800765658292729,-0.6101349564322917,-0.1484320493515625,-0.14621861261979166,-0.3221158791640625,-0.5870130143828125,0.15041534633606587
Wade,SRP_kg_km2,2018-09-11 01:15:00,fall,4,1,4,0.013927735906677377,3.9878775397339777e-4,77.2308607464208,13.600000000000001,0.04,13.600000000000001,0.062976195,78.29947916666667,0.0012844648541666674,0.0025670688792463234,0.5211033222103789,0.6033114982490091,0.7755434225752091,0.8118440521089509,0.25242368544474914,6.871527777777778,-4.321093750000001,-0.5756668015520834,-0.10454722303125,-0.03308752086458333,-0.30963018916145835,-0.5654687399635416,0.3439023344793245,-0.5400548852513021,-0.10044180217838541,-0.0200537064296875,-0.30959897102343753,-0.5365976722669271,0.3583004782940113
Wade,SRP_kg_km2,2018-10-02 03:00:00,fall,1,2,4,1.2162407722495765,0.07560397314639389,35.573541598292785,25.400000000000002,0.16,33.225221250000004,2.7744276645,52.57725694444444,0.10682501455989583,0.003829133950364601,0.5289459645627032,0.5784129303295137,0.6627494617732134,0.6915631744644489,0.542393062622483,4.645833333333333,-4.283046875,-0.24834969110416666,-0.0727290975625,0.0170312466875,-0.07380225733333333,-0.18842742305729165,0.8116642121894149,-0.3012038804388021,-0.07782541529166667,0.013437464830729167,-0.07901459684895833,-0.28078003034505206,0.7521013522280117
Wade,SRP_kg_km2,2018-10-06 22:45:00,fall,4,2,4,0.12138756272488037,0.00918537452467975,29.223315578277113,8.200000000000001,0.08,10.04335625,0.315403112,40.140625,0.41170174286067707,0.0038059089885476467,0.5247231482185415,0.6119924417250622,0.512414613256005,0.6259159574964605,0.3841442714720207,3.3506944444444446,-1.5227256944444445,-0.311236425828125,-0.0787131195,0.00437932640625,-0.07611500963020833,-0.3531146116510417,0.7178658865835427,-0.21958373078385415,-0.07396057592057291,0.011466781485677084,-0.06503419762239583,-0.1733242223971354,0.8333004308633176
Wade,SRP_kg_km2,2018-10-11 07:15:00,fall,1,3,4,0.04274686788813222,0.12320917596556287,0.7672085098358371,20.2,0.44000000000000006,21.393105,2.819219394,30.9609375,0.15295479438020834,0.004785436643808091,0.38997646982990286,0.47316566853785347,0.544830845729662,0.8065884799879799,0.4613213763991578,2.392361111111111,5.4500954861111115,-0.33368224670833335,-0.09716683402083333,-0.015521194723958333,-0.09749992591666666,-0.4164218766510417,0.6378021348498556,-0.22965893096484374,-0.08606741211588542,-0.0017990087187500002,-0.0887804065234375,-0.24198960354166668,0.7634072379478871
