site,event_start,season,NO3_kg_km2,SRP_kg_km2,event_NO3_SRP,turb_kg_km2,cluster,DOY,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_mean,API_4d,solarRad_4d,q_4d,q_mm,NO3_1d,SRP_1d,turb_event_max,DO_pre_wet_15cm,Redox_pre_wet_15cm,SoilTemp_pre_wet_15cm,VWC_pre_wet_15cm,time_sinceLastEvent,multipeak,PET_mmHR,diff_airT_soilT
Hungerford,2017-11-19 03:00:00,fall,17.81873397443975,1.7416627130477595,22.623768867079594,191.21424051913905,2,323,11.200000000000001,13.166666666666666,0.014088050314465408,12.273975,55.21006944444444,1.1001324838203126,7.3342295920479454,2.7953099693777745,0.0015056911927570958,64.72733333333333,0.7169614418184735,0.4783623706866186,0.18209379092059128,0.7068565156922536,10.802083333333334,0,5e-4,-5.785694444444444
Hungerford,2017-11-22 09:45:00,fall,NA,NA,NA,NA,2,326,3.2,3.4166666666666665,0.01523809523809524,12.880215,39.681423611111114,1.63740493496875,3.4163299774726026,2.726156000806795,0.01114998330845693,9.387333333333334,0.7286219747010187,0.5017989156672418,0.13335127973558125,0.8796199624337433,1.40625,0,0.0074,4.446041666666666
Hungerford,2017-11-25 22:15:00,fall,NA,NA,NA,NA,2,329,8.4,16.083333333333332,0.00865979381443299,11.1436,31.157118055555557,1.4457830512578125,8.578442011767123,2.8374894521422784,0.0030073478074815877,10.037333333333333,0.6868327127172532,0.557458915059923,0.14076515149200713,0.89521226859572,2.4270833333333335,0,0.0099,3.8120833333333333
Hungerford,2017-11-28 08:00:00,fall,50.11288372254524,0.12094324420219217,916.262570857166,123.90160487533979,3,332,4.6000000000000005,58.5,0.0013086770981507825,11.80195,28.026041666666668,1.6997662001848959,16.917420791260273,2.960958373188401,0.01527939589917606,18.633333333333333,0.6870956655843289,0.5623163822167894,0.11800413275124262,0.9121201041361707,0.22916666666666666,1,3e-4,-9.369305555555556
Hungerford,2018-04-04 02:30:00,spring,13.101435428759409,0.025344176328233645,1143.1227411750901,501.46786290378,2,94,14.4,16.333333333333332,0.014619289340101524,14.914425,179.00086805555554,1.8612199922890624,6.921839876486302,2.549917483494477,2.435000000000001e-4,142.13533333333334,0.6514959533165742,0.5725781598399067,0.10315362008551358,0.9907257879516089,3.6458333333333335,0,0.0025,-0.6803819444444446
Hungerford,2018-04-12 18:15:00,spring,5.693493592712726,8.090242274394761e-4,15562.145597543737,77.04234537097355,2,102,8.4,8.333333333333334,0.016633663366336635,8.4,190.81597222222223,0.804747474,3.3224814268561644,2.398683952549683,2.4350000000000004e-4,53.638666666666666,0.6475409660646596,0.59877971945054,0.07281348554866622,0.9599621288883937,7.395833333333333,0,0.1696,2.6102604166666667
Hungerford,2018-04-13 21:30:00,spring,14.295955118048399,0.11616479384916988,272.1390192758514,344.354519659683,2,103,10,39.666666666666664,0.0041928721174004195,17.98,149.42100694444446,0.9715506062968751,7.464393229130137,1.703078860490044,2.4350000000000004e-4,139.45466666666667,0.6160361650612726,0.5911943667466053,0.23593633058638633,0.9589457025186221,0.010416666666666666,0,0.0249,-0.0984027777777774
Hungerford,2018-04-16 06:00:00,spring,45.81455611403263,0.7396114153932145,136.97838545578537,2106.1991320254465,2,106,14,47.25,0.004929577464788733,30.9631525,87.27777777777777,1.7131403339140625,16.603938510945206,2.5273611257069235,2.4350000000000004e-4,489.77466666666663,0.6865817005969432,0.5884440826288825,0.09513899538688286,0.9590961575024161,0.6041666666666666,0,0.0046,-3.3396875
Hungerford,2018-04-20 14:45:00,spring,8.256548548776403,6.736066992479384e-4,27104.68138693217,25.626034390938464,2,110,0.6000000000000001,0.9166666666666666,0.01,12.7192925,77.53732638888889,2.829673079697917,2.766351947630137,3.0768884536451475,2.435000000000001e-4,10.868,0.5851205197662385,0.5781184290886103,0.13684786826435733,0.9600473101257548,2.0520833333333335,0,0.0911,-2.2499305555555553
Hungerford,2018-04-25 14:00:00,spring,32.98749786423338,1.4122193287241507,51.653456574472756,1307.7974010090386,3,115,33.6,59.5,0.009398601398601398,33.6,257.1736111111111,1.0178471373463542,16.41577158910274,2.540269900845721,0.0016264831217708308,227.18066666666667,0.6346395822787595,0.6024171440190118,0.2697080759755408,0.9418070925779094,4.072916666666667,1,0.1573,8.615277777777777
