myRun,myDataSet,nodes,myTopo,rows,cols,normMeth,wghtMeth,niter,crsAlpha,finAlpha,nClusters,colRowRatio
1,wade,35,hexagonal,5,7,L2norm,noPCA,1000,0.05,0.01,3,1.4
2,wade,40,hexagonal,5,8,L2norm,noPCA,1000,0.05,0.01,3,1.6
3,wade,45,hexagonal,5,9,L2norm,noPCA,1000,0.05,0.01,3,1.8
4,wade,50,hexagonal,5,10,L2norm,noPCA,1000,0.05,0.01,3,2.0
5,wade,55,hexagonal,5,11,L2norm,noPCA,1000,0.05,0.01,3,2.2
6,wade,36,hexagonal,6,6,L2norm,noPCA,1000,0.05,0.01,3,1.0
7,wade,42,hexagonal,6,7,L2norm,noPCA,1000,0.05,0.01,3,1.2
8,wade,48,hexagonal,6,8,L2norm,noPCA,1000,0.05,0.01,3,1.3
9,wade,54,hexagonal,6,9,L2norm,noPCA,1000,0.05,0.01,3,1.5
10,wade,60,hexagonal,6,10,L2norm,noPCA,1000,0.05,0.01,3,1.7
11,wade,35,hexagonal,7,5,L2norm,noPCA,1000,0.05,0.01,3,0.7
12,wade,42,hexagonal,7,6,L2norm,noPCA,1000,0.05,0.01,3,0.9
13,wade,49,hexagonal,7,7,L2norm,noPCA,1000,0.05,0.01,3,1.0
14,wade,56,hexagonal,7,8,L2norm,noPCA,1000,0.05,0.01,3,1.1
15,wade,63,hexagonal,7,9,L2norm,noPCA,1000,0.05,0.01,3,1.3
16,wade,40,hexagonal,8,5,L2norm,noPCA,1000,0.05,0.01,3,0.6
17,wade,48,hexagonal,8,6,L2norm,noPCA,1000,0.05,0.01,3,0.8
18,wade,56,hexagonal,8,7,L2norm,noPCA,1000,0.05,0.01,3,0.9
19,wade,64,hexagonal,8,8,L2norm,noPCA,1000,0.05,0.01,3,1.0
20,wade,35,hexagonal,5,7,L2norm,noPCA,1000,0.05,0.01,4,1.4
21,wade,40,hexagonal,5,8,L2norm,noPCA,1000,0.05,0.01,4,1.6
22,wade,45,hexagonal,5,9,L2norm,noPCA,1000,0.05,0.01,4,1.8
23,wade,50,hexagonal,5,10,L2norm,noPCA,1000,0.05,0.01,4,2.0
24,wade,55,hexagonal,5,11,L2norm,noPCA,1000,0.05,0.01,4,2.2
25,wade,36,hexagonal,6,6,L2norm,noPCA,1000,0.05,0.01,4,1.0
26,wade,42,hexagonal,6,7,L2norm,noPCA,1000,0.05,0.01,4,1.2
27,wade,48,hexagonal,6,8,L2norm,noPCA,1000,0.05,0.01,4,1.3
28,wade,54,hexagonal,6,9,L2norm,noPCA,1000,0.05,0.01,4,1.5
29,wade,60,hexagonal,6,10,L2norm,noPCA,1000,0.05,0.01,4,1.7
30,wade,35,hexagonal,7,5,L2norm,noPCA,1000,0.05,0.01,4,0.7
31,wade,42,hexagonal,7,6,L2norm,noPCA,1000,0.05,0.01,4,0.9
32,wade,49,hexagonal,7,7,L2norm,noPCA,1000,0.05,0.01,4,1.0
33,wade,56,hexagonal,7,8,L2norm,noPCA,1000,0.05,0.01,4,1.1
34,wade,63,hexagonal,7,9,L2norm,noPCA,1000,0.05,0.01,4,1.3
35,wade,40,hexagonal,8,5,L2norm,noPCA,1000,0.05,0.01,4,0.6
36,wade,48,hexagonal,8,6,L2norm,noPCA,1000,0.05,0.01,4,0.8
37,wade,56,hexagonal,8,7,L2norm,noPCA,1000,0.05,0.01,4,0.9
38,wade,64,hexagonal,8,8,L2norm,noPCA,1000,0.05,0.01,4,1.0
39,wade,35,hexagonal,5,7,L2norm,noPCA,1000,0.05,0.01,5,1.4
40,wade,40,hexagonal,5,8,L2norm,noPCA,1000,0.05,0.01,5,1.6
41,wade,45,hexagonal,5,9,L2norm,noPCA,1000,0.05,0.01,5,1.8
42,wade,50,hexagonal,5,10,L2norm,noPCA,1000,0.05,0.01,5,2.0
43,wade,55,hexagonal,5,11,L2norm,noPCA,1000,0.05,0.01,5,2.2
44,wade,36,hexagonal,6,6,L2norm,noPCA,1000,0.05,0.01,5,1.0
45,wade,42,hexagonal,6,7,L2norm,noPCA,1000,0.05,0.01,5,1.2
46,wade,48,hexagonal,6,8,L2norm,noPCA,1000,0.05,0.01,5,1.3
47,wade,54,hexagonal,6,9,L2norm,noPCA,1000,0.05,0.01,5,1.5
48,wade,60,hexagonal,6,10,L2norm,noPCA,1000,0.05,0.01,5,1.7
49,wade,35,hexagonal,7,5,L2norm,noPCA,1000,0.05,0.01,5,0.7
50,wade,42,hexagonal,7,6,L2norm,noPCA,1000,0.05,0.01,5,0.9
51,wade,49,hexagonal,7,7,L2norm,noPCA,1000,0.05,0.01,5,1.0
52,wade,56,hexagonal,7,8,L2norm,noPCA,1000,0.05,0.01,5,1.1
53,wade,63,hexagonal,7,9,L2norm,noPCA,1000,0.05,0.01,5,1.3
54,wade,40,hexagonal,8,5,L2norm,noPCA,1000,0.05,0.01,5,0.6
55,wade,48,hexagonal,8,6,L2norm,noPCA,1000,0.05,0.01,5,0.8
56,wade,56,hexagonal,8,7,L2norm,noPCA,1000,0.05,0.01,5,0.9
57,wade,64,hexagonal,8,8,L2norm,noPCA,1000,0.05,0.01,5,1.0
58,wade,35,hexagonal,5,7,L2norm,noPCA,1000,0.05,0.01,6,1.4
59,wade,40,hexagonal,5,8,L2norm,noPCA,1000,0.05,0.01,6,1.6
60,wade,45,hexagonal,5,9,L2norm,noPCA,1000,0.05,0.01,6,1.8
61,wade,50,hexagonal,5,10,L2norm,noPCA,1000,0.05,0.01,6,2.0
62,wade,55,hexagonal,5,11,L2norm,noPCA,1000,0.05,0.01,6,2.2
63,wade,36,hexagonal,6,6,L2norm,noPCA,1000,0.05,0.01,6,1.0
64,wade,42,hexagonal,6,7,L2norm,noPCA,1000,0.05,0.01,6,1.2
65,wade,48,hexagonal,6,8,L2norm,noPCA,1000,0.05,0.01,6,1.3
66,wade,54,hexagonal,6,9,L2norm,noPCA,1000,0.05,0.01,6,1.5
67,wade,60,hexagonal,6,10,L2norm,noPCA,1000,0.05,0.01,6,1.7
68,wade,35,hexagonal,7,5,L2norm,noPCA,1000,0.05,0.01,6,0.7
69,wade,42,hexagonal,7,6,L2norm,noPCA,1000,0.05,0.01,6,0.9
70,wade,49,hexagonal,7,7,L2norm,noPCA,1000,0.05,0.01,6,1.0
71,wade,56,hexagonal,7,8,L2norm,noPCA,1000,0.05,0.01,6,1.1
72,wade,63,hexagonal,7,9,L2norm,noPCA,1000,0.05,0.01,6,1.3
73,wade,40,hexagonal,8,5,L2norm,noPCA,1000,0.05,0.01,6,0.6
74,wade,48,hexagonal,8,6,L2norm,noPCA,1000,0.05,0.01,6,0.8
75,wade,56,hexagonal,8,7,L2norm,noPCA,1000,0.05,0.01,6,0.9
76,wade,64,hexagonal,8,8,L2norm,noPCA,1000,0.05,0.01,6,1.0
