Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49
 18,hford,32,hexagonal,4, 8,L2norm,noPCA,1000,0.05,0.01,4,2.0,0.153107704399291,0.153108,12.024716,0.01,0,2,2,2,1,3,3,3,1,3,3,1,3,3,2,2,2,4,2,2,2,2,1,2,2,2,1,3,3,3,3,3,3,3,3,1,3,3,1,1,3,1,2,2,2,4,2,2,2,1
 19,hford,36,hexagonal,4, 9,L2norm,noPCA,1000,0.05,0.01,4,2.3,0.119103476820818,0.119103,22.862439,0.01,0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,3,3,3,3,3,2,1,1,1,2,4,2,2,2,1,1,1,2,1,2,1,1,1,1,1,3,3,3,3,1,1,1,1
 20,hford,30,hexagonal,5, 6,L2norm,noPCA,1000,0.05,0.01,4,1.2,0.152711374351105,0.152711,12.809909,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,4
 21,hford,35,hexagonal,5, 7,L2norm,noPCA,1000,0.05,0.01,4,1.4,0.159704020835491,0.159704,9.956365,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,3
 22,hford,40,hexagonal,5, 8,L2norm,noPCA,1000,0.05,0.01,4,1.6,0.175264394188818,0.175264,14.093623,0.01,0,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,4,2,2,2,2,2,3,2,3,2,2,3,3,2,3,1,1,1,1,2,2,2,3
 23,hford,45,hexagonal,5, 9,L2norm,noPCA,1000,0.05,0.01,4,1.8,0.115749307830403,0.115749,20.595655,0.01,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,2,2,2,2,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2
 24,hford,30,hexagonal,6, 5,L2norm,noPCA,1000,0.05,0.01,4,0.8,0.130620372044861,0.13062,20.595655,0.01,0,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,1
 25,hford,36,hexagonal,6, 6,L2norm,noPCA,1000,0.05,0.01,4,1.0,0.141458875855471,0.141459,13.47801,0.01,0,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,3,2,3,3
 26,hford,42,hexagonal,6, 7,L2norm,noPCA,1000,0.05,0.01,4,1.2,0.114604023832757,0.114604,12.809909,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,3
 27,hford,30,hexagonal,3,10,L2norm,noPCA,1000,0.05,0.01,5,3.3,0.166803196174457,0.166803,21.766721,0.01,0,3,3,3,3,4,4,4,4,4,1,4,4,4,4,4,4,2,2,3,3,3,3,3,3,3,3,5,1,1,1,4,4,4,1,4,1,4,4,4,4,4,2,2,2,2,4,3,4,4
 28,hford,33,hexagonal,3,11,L2norm,noPCA,1000,0.05,0.01,5,3.7,0.170129849874265,0.17013,22.075615,0.01,0,4,4,4,2,4,4,4,4,4,1,4,4,4,4,4,4,3,3,3,3,3,2,4,4,4,2,5,1,1,1,4,4,4,1,4,1,4,4,4,4,4,3,3,3,3,4,4,4,4
 29,hford,36,hexagonal,3,12,L2norm,noPCA,1000,0.05,0.01,5,4.0,0.139439437458657,0.139439,22.075615,0.01,0,2,2,2,4,2,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,1,4,2,2,2,4,5,3,3,3,2,2,2,3,2,3,2,2,2,2,2,1,1,1,1,2,2,2,2
 30,hford,28,hexagonal,4, 7,L2norm,noPCA,1000,0.05,0.01,5,1.8,0.202433253098872,0.202433,16.754471,0.01,0,4,4,4,4,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,2,2,2,5,4,5,5
 31,hford,32,hexagonal,4, 8,L2norm,noPCA,1000,0.05,0.01,5,2.0,0.169353546218016,0.169354,18.980925,0.01,0,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,5,5,5,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,5,5,5,3
 32,hford,36,hexagonal,4, 9,L2norm,noPCA,1000,0.05,0.01,5,2.3,0.142254713311728,0.142255,21.012723,0.01,0,2,2,2,5,2,2,2,2,2,5,2,2,2,2,2,2,3,3,3,3,2,5,2,2,2,5,4,5,5,5,2,2,2,5,2,5,2,2,2,2,2,3,3,3,3,2,2,2,1
