Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49
 71,hford,36,hexagonal,4, 9,L2norm,noPCA,1000,0.05,0.01,4,2.3,0.131958713291956,0.131959,12.809909,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,3
 72,hford,30,hexagonal,5, 6,L2norm,noPCA,1000,0.05,0.01,4,1.2,0.214521441682139,0.214521,16.862941,0.01,0,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,4,3,3,3,2,2,2,3,2,3,2,2,2,2,2,1,1,1,1,2,2,2,2
 73,hford,35,hexagonal,5, 7,L2norm,noPCA,1000,0.05,0.01,4,1.4,0.161200150727035,0.1612,16.324103,0.01,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,4,4,4,4,2,2,2,3
 74,hford,40,hexagonal,5, 8,L2norm,noPCA,1000,0.05,0.01,4,1.6,0.14153548901372,0.141535,20.662866,0.01,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,2,2,2
 75,hford,45,hexagonal,5, 9,L2norm,noPCA,1000,0.05,0.01,4,1.8,0.114776827131015,0.114777,13.779264,0.01,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,3,3,3,3,2,2,2,4
 76,hford,30,hexagonal,6, 5,L2norm,noPCA,1000,0.05,0.01,4,0.8,0.177058564290319,0.177059,13.446778,0.01,0,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,3,2,3,1,1,1,1,2,2,2,3
 77,hford,36,hexagonal,6, 6,L2norm,noPCA,1000,0.05,0.01,4,1.0,0.158737473155245,0.158737,9.956365,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,3
 78,hford,42,hexagonal,6, 7,L2norm,noPCA,1000,0.05,0.01,4,1.2,0.170151834568887,0.170152,12.809909,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,4
 79,hford,30,hexagonal,3,10,L2norm,noPCA,1000,0.05,0.01,5,3.3,0.157502817446484,0.157503,13.492557,0.01,0,3,3,3,3,1,1,1,1,1,5,1,1,1,1,1,1,2,1,1,1,1,2,3,3,3,3,4,5,5,5,1,1,1,5,1,5,1,1,1,1,1,1,1,1,2,1,3,1,1
 80,hford,33,hexagonal,3,11,L2norm,noPCA,1000,0.05,0.01,5,3.7,0.156433397024592,0.156433,22.075615,0.01,0,2,2,2,5,2,2,2,2,2,1,2,2,2,2,2,2,3,3,3,3,3,5,2,2,2,5,4,1,1,1,2,2,2,1,2,1,2,2,2,2,2,3,3,3,3,2,2,2,2
 81,hford,36,hexagonal,3,12,L2norm,noPCA,1000,0.05,0.01,5,4.0,0.142988344974059,0.142988,15.696232,0.01,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,4,1,1,1,2,2,2,1,2,1,2,2,2,2,2,3,3,3,3,2,2,2,5
 82,hford,28,hexagonal,4, 7,L2norm,noPCA,1000,0.05,0.01,5,1.8,0.159764536138803,0.159765,21.508146,0.01,0,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,5,5,5,5,5,1,3,3,3,1,2,1,1,1,3,3,3,1,3,1,3,3,3,3,3,5,5,5,5,3,3,3,4
 83,hford,32,hexagonal,4, 8,L2norm,noPCA,1000,0.05,0.01,5,2.0,0.144226962155619,0.144227,22.075615,0.01,0,1,1,1,5,1,1,1,1,1,4,1,1,1,1,1,1,3,3,3,3,3,5,1,1,1,5,2,4,4,4,1,1,1,4,1,4,1,1,1,1,1,3,3,3,3,1,1,1,1
 84,hford,36,hexagonal,4, 9,L2norm,noPCA,1000,0.05,0.01,5,2.3,0.121366451898508,0.121366,16.368011,0.01,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,2,2,2,2,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,2,1,4
 85,hford,30,hexagonal,5, 6,L2norm,noPCA,1000,0.05,0.01,5,1.2,0.183453177655504,0.183453,21.157028,0.01,0,2,2,2,2,1,1,1,3,1,1,3,1,1,1,1,1,4,4,4,4,4,2,2,2,2,2,5,1,1,1,1,1,3,1,3,1,1,3,3,1,3,4,4,4,4,3,2,3,3
 86,hford,35,hexagonal,5, 7,L2norm,noPCA,1000,0.05,0.01,5,1.4,0.132536094190975,0.132536,17.940728,0.01,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,1,1,1,1,1,1,1,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,1,2,4
 87,hford,40,hexagonal,5, 8,L2norm,noPCA,1000,0.05,0.01,5,1.6,0.12307117094297,0.123071,19.924019,0.01,0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,3,3,3,1,1,2,1,1,1,2,4,2,2,2,1,1,1,2,1,2,1,1,1,1,1,3,3,3,3,1,1,1,5
 88,hford,45,hexagonal,5, 9,L2norm,noPCA,1000,0.05,0.01,5,1.8,0.132728602089896,0.132729,16.408417,0.01,0,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,4,5,5,5,1,1,1,5,1,5,1,1,1,1,1,3,3,3,3,2,1,2,2
 89,hford,30,hexagonal,6, 5,L2norm,noPCA,1000,0.05,0.01,5,0.8,0.153723398209825,0.153723,24.916237,0.01,0,2,2,2,5,2,2,2,4,2,5,4,2,2,2,2,2,3,3,3,3,3,5,2,2,2,5,1,5,5,5,2,2,2,5,4,5,2,4,4,2,4,3,3,3,3,4,2,4,4
 90,hford,36,hexagonal,6, 6,L2norm,noPCA,1000,0.05,0.01,5,1.0,0.149894063518612,0.149894,19.948223,0.01,0,2,2,2,4,2,2,2,3,2,4,3,2,2,2,2,2,1,1,2,2,2,4,2,2,2,4,5,4,4,4,2,2,2,4,2,4,2,3,3,2,3,1,1,1,1,3,2,2,3
 91,hford,42,hexagonal,6, 7,L2norm,noPCA,1000,0.05,0.01,5,1.2,0.148879246550875,0.148879,22.998346,0.01,0,1,1,1,2,1,1,1,3,1,2,3,1,1,1,1,1,5,5,5,1,1,2,1,1,1,2,4,2,2,2,1,3,3,2,3,2,1,3,3,1,3,5,5,5,5,3,1,3,3
 92,hford,30,hexagonal,3,10,L2norm,noPCA,1000,0.05,0.01,6,3.3,0.169214607607742,0.169215,19.661991,0.01,0,2,3,3,6,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,6,3,3,3,6,5,1,1,1,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,3,2,2
 93,hford,33,hexagonal,3,11,L2norm,noPCA,1000,0.05,0.01,6,3.7,0.113425817586325,0.113426,26.932008,0.01,0,2,2,2,4,2,2,2,1,2,6,1,2,2,2,2,2,3,3,3,3,3,4,2,2,2,4,5,6,6,6,2,2,1,6,1,6,2,1,2,2,1,3,3,3,3,1,2,1,1
 94,hford,36,hexagonal,3,12,L2norm,noPCA,1000,0.05,0.01,6,4.0,0.135048941328375,0.135049,20.241211,0.01,0,3,3,3,5,2,2,2,2,2,5,2,2,2,2,2,2,4,6,3,3,3,4,3,3,3,5,1,5,5,5,2,2,2,5,2,5,2,2,2,2,2,6,6,6,4,2,3,2,2
 95,hford,28,hexagonal,4, 7,L2norm,noPCA,1000,0.05,0.01,6,1.8,0.174853887132425,0.174854,25.273415,0.01,0,4,4,4,2,5,5,5,5,5,1,5,5,5,5,5,5,3,3,3,4,4,2,4,4,4,2,6,1,1,1,5,5,5,1,5,1,5,5,5,5,5,3,3,3,3,4,4,4,5
 96,hford,32,hexagonal,4, 8,L2norm,noPCA,1000,0.05,0.01,6,2.0,0.173093018225403,0.173093,22.698105,0.01,0,1,1,1,6,1,1,1,1,1,4,1,1,1,1,1,1,3,3,3,3,3,6,1,1,1,6,2,4,4,4,1,1,1,4,1,4,1,1,1,1,1,3,3,3,3,1,1,1,5
 97,hford,36,hexagonal,4, 9,L2norm,noPCA,1000,0.05,0.01,6,2.3,0.187866172701476,0.187866,27.377326,0.01,0,6,6,6,6,2,2,2,3,2,5,3,2,2,2,2,2,1,1,1,1,1,6,6,6,6,6,4,5,5,5,2,2,3,5,3,5,2,3,3,2,3,1,1,1,1,3,6,6,3
 98,hford,30,hexagonal,5, 6,L2norm,noPCA,1000,0.05,0.01,6,1.2,0.184712942767565,0.184713,26.198214,0.01,0,2,2,2,1,2,2,2,3,2,6,3,2,2,2,2,2,4,4,4,4,4,1,2,2,2,1,5,6,6,6,2,2,2,6,2,6,2,2,2,2,3,4,4,4,4,3,2,3,3
 99,hford,35,hexagonal,5, 7,L2norm,noPCA,1000,0.05,0.01,6,1.4,0.181765685036661,0.181766,22.849553,0.01,0,5,5,5,6,2,2,2,2,2,3,2,2,2,2,2,2,1,1,5,5,5,6,5,5,5,6,4,3,3,3,2,2,2,3,2,3,2,2,2,2,2,1,1,1,1,2,5,2,2
100,hford,40,hexagonal,5, 8,L2norm,noPCA,1000,0.05,0.01,6,1.6,0.14386763270522,0.143868,25.200669,0.01,0,2,2,2,4,1,1,1,1,1,4,1,1,1,1,1,1,3,3,3,2,2,4,2,2,2,4,5,4,4,4,1,1,1,4,1,4,1,1,1,1,1,3,3,3,3,2,2,2,6
101,hford,45,hexagonal,5, 9,L2norm,noPCA,1000,0.05,0.01,6,1.8,0.103138719451281,0.103139,25.200669,0.01,0,2,2,2,3,1,1,1,1,1,3,1,1,1,1,1,1,4,4,4,2,2,3,2,2,2,3,5,3,3,3,1,1,1,3,1,3,1,1,1,1,1,4,4,4,4,2,2,2,6
102,hford,30,hexagonal,6, 5,L2norm,noPCA,1000,0.05,0.01,6,0.8,0.164015771352926,0.164016,26.564182,0.01,0,1,1,1,6,2,2,2,2,2,3,2,2,2,2,2,2,5,5,5,5,5,6,1,1,1,6,4,3,3,3,2,2,2,3,2,3,2,2,2,2,2,5,5,5,5,1,1,1,1
103,hford,36,hexagonal,6, 6,L2norm,noPCA,1000,0.05,0.01,6,1.0,0.179899987245455,0.1799,21.373683,0.01,0,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,6,6,6,6,6,5,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,6,6,4
104,hford,42,hexagonal,6, 7,L2norm,noPCA,1000,0.05,0.01,6,1.2,0.128946146029421,0.128946,24.977521,0.01,0,2,2,2,2,3,3,3,3,3,4,3,3,3,3,3,3,1,1,1,2,2,2,2,2,2,2,6,4,4,4,3,3,3,4,3,4,3,3,3,3,3,1,1,1,1,3,2,3,5
105,hford,30,hexagonal,3,10,L2norm,noPCA,1000,0.05,0.01,3,3.3,0.187676318030796,0.187676,18.909896,0.01,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,2,2,2,2,1,1,1,2,1,2,1,1,1,1,1,3,3,3,3,1,1,1,1
106,hford,33,hexagonal,3,11,L2norm,noPCA,1000,0.05,0.01,3,3.7,0.150470776808629,0.150471,14.738994,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,1
107,hford,36,hexagonal,3,12,L2norm,noPCA,1000,0.05,0.01,3,4.0,0.137107709734109,0.137108,24.390739,0.01,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2
108,hford,28,hexagonal,4, 7,L2norm,noPCA,1000,0.05,0.01,3,1.8,0.183271297481115,0.183271,14.974224,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1
109,hford,32,hexagonal,4, 8,L2norm,noPCA,1000,0.05,0.01,3,2.0,0.14729147691299,0.147291,12.26288,0.01,0,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,2
110,hford,36,hexagonal,4, 9,L2norm,noPCA,1000,0.05,0.01,3,2.3,0.133532264927711,0.133532,14.738994,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,3
111,hford,30,hexagonal,5, 6,L2norm,noPCA,1000,0.05,0.01,3,1.2,0.139853270973292,0.139853,4.322477,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3
112,hford,35,hexagonal,5, 7,L2norm,noPCA,1000,0.05,0.01,3,1.4,0.143791162928908,0.143791,11.053921,0.01,0,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,1,2,1,1,1,3,3,3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3
113,hford,40,hexagonal,5, 8,L2norm,noPCA,1000,0.05,0.01,3,1.6,0.122374844105781,0.122375,4.322477,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
114,hford,45,hexagonal,5, 9,L2norm,noPCA,1000,0.05,0.01,3,1.8,0.118926898424364,0.118927,5.604872,0.01,0,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2
115,hford,30,hexagonal,6, 5,L2norm,noPCA,1000,0.05,0.01,3,0.8,0.184625985687402,0.184626,14.738994,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,3
116,hford,36,hexagonal,6, 6,L2norm,noPCA,1000,0.05,0.01,3,1.0,0.134686306470397,0.134686,14.974224,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1
117,hford,42,hexagonal,6, 7,L2norm,noPCA,1000,0.05,0.01,3,1.2,0.153791972076681,0.153792,4.322477,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
118,hford,30,hexagonal,3,10,L2norm,noPCA,1000,0.05,0.01,4,3.3,0.196973597948739,0.196974,16.862941,0.01,0,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,4,3,3,3,2,2,2,3,2,3,2,2,2,2,2,1,1,1,1,2,2,2,2
119,hford,33,hexagonal,3,11,L2norm,noPCA,1000,0.05,0.01,4,3.7,0.16475572932169,0.164756,14.807584,0.01,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,4,3,3,3,1,1,1,3,1,3,1,1,1,1,1,2,2,2,2,1,1,1,1
120,hford,36,hexagonal,3,12,L2norm,noPCA,1000,0.05,0.01,4,4.0,0.159728282291982,0.159728,18.394248,0.01,0,2,2,2,4,2,2,2,2,2,4,2,2,2,2,2,2,1,1,2,2,2,4,2,2,2,4,3,4,4,4,2,2,2,4,2,4,2,2,2,2,2,1,1,1,1,2,2,2,2
121,hford,28,hexagonal,4, 7,L2norm,noPCA,1000,0.05,0.01,4,1.8,0.168670506250586,0.168671,21.114393,0.01,0,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,3,3,3,2,2,1,2,2,2,1,4,1,1,1,2,2,2,1,2,1,2,2,2,2,2,3,3,3,3,2,2,2,2
122,hford,32,hexagonal,4, 8,L2norm,noPCA,1000,0.05,0.01,4,2.0,0.151152538074357,0.151153,14.009081,0.01,0,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,3,3,2,3,1,1,1,1,2,2,2,3
123,hford,36,hexagonal,4, 9,L2norm,noPCA,1000,0.05,0.01,4,2.3,0.110905543791367,0.110906,11.701012,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,2,2,3
124,hford,30,hexagonal,5, 6,L2norm,noPCA,1000,0.05,0.01,4,1.2,0.160356718198348,0.160357,12.809909,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,3
125,hford,35,hexagonal,5, 7,L2norm,noPCA,1000,0.05,0.01,4,1.4,0.138490778392328,0.138491,14.009081,0.01,0,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,3,1,3,4,4,4,4,1,1,1,3
126,hford,40,hexagonal,5, 8,L2norm,noPCA,1000,0.05,0.01,4,1.6,0.105533893514065,0.105534,9.956365,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,3
127,hford,45,hexagonal,5, 9,L2norm,noPCA,1000,0.05,0.01,4,1.8,0.120192745274911,0.120193,13.951695,0.01,0,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,1,1,1,3
128,hford,30,hexagonal,6, 5,L2norm,noPCA,1000,0.05,0.01,4,0.8,0.188458585567914,0.188459,17.900779,0.01,0,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,1,1
129,hford,36,hexagonal,6, 6,L2norm,noPCA,1000,0.05,0.01,4,1.0,0.116537939440671,0.116538,12.809909,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,3
130,hford,42,hexagonal,6, 7,L2norm,noPCA,1000,0.05,0.01,4,1.2,0.152238897841888,0.152239,14.709007,0.01,0,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,2,1,2,2
131,hford,30,hexagonal,3,10,L2norm,noPCA,1000,0.05,0.01,5,3.3,0.207895995423571,0.207896,18.47065,0.01,0,3,3,3,2,5,5,5,3,5,5,3,5,5,5,5,5,1,1,1,1,1,2,3,3,3,2,4,5,5,5,5,5,3,5,3,5,5,3,3,5,3,1,1,1,1,3,3,3,3
132,hford,33,hexagonal,3,11,L2norm,noPCA,1000,0.05,0.01,5,3.7,0.163637937956583,0.163638,16.442754,0.01,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1,5,3,3,3,1,1,1,3,1,3,1,1,1,1,1,4,4,4,4,1,1,1,2
133,hford,36,hexagonal,3,12,L2norm,noPCA,1000,0.05,0.01,5,4.0,0.16576634470929,0.165766,23.522489,0.01,0,3,3,3,3,2,2,2,2,2,1,2,2,2,2,2,2,4,4,4,4,4,3,3,3,3,3,5,1,1,1,2,2,2,1,2,1,2,2,2,2,2,4,4,4,4,2,3,2,2
134,hford,28,hexagonal,4, 7,L2norm,noPCA,1000,0.05,0.01,5,1.8,0.156848678185881,0.156849,19.924019,0.01,0,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,2,2,2,3,3,1,3,3,3,1,5,1,1,1,3,3,3,1,3,1,3,3,3,3,3,2,2,2,2,3,3,3,4
135,hford,32,hexagonal,4, 8,L2norm,noPCA,1000,0.05,0.01,5,2.0,0.177479976077137,0.17748,21.61162,0.01,0,1,1,1,1,2,2,2,3,2,2,3,2,2,2,2,2,4,4,4,1,1,1,1,1,1,1,5,2,2,2,2,2,3,2,3,2,2,3,3,2,3,4,4,4,4,3,1,3,3
136,hford,36,hexagonal,4, 9,L2norm,noPCA,1000,0.05,0.01,5,2.3,0.141194843420835,0.141195,19.924019,0.01,0,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3,3,5,5,5,3,3,1,3,3,3,1,4,1,1,1,3,3,3,1,3,1,3,3,3,3,3,5,5,5,5,3,3,3,2
137,hford,30,hexagonal,5, 6,L2norm,noPCA,1000,0.05,0.01,5,1.2,0.142517787915227,0.142518,19.924019,0.01,0,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,4,4,4,2,2,1,2,2,2,1,5,1,1,1,2,2,2,1,2,1,2,2,2,2,2,4,4,4,4,2,2,2,3
138,hford,35,hexagonal,5, 7,L2norm,noPCA,1000,0.05,0.01,5,1.4,0.134459302347051,0.134459,20.226986,0.01,0,1,1,1,2,1,1,1,3,1,2,3,1,1,1,1,1,4,4,1,1,1,2,1,1,1,2,5,2,2,2,1,1,1,2,1,2,1,3,3,1,3,4,4,4,4,3,1,3,3
139,hford,40,hexagonal,5, 8,L2norm,noPCA,1000,0.05,0.01,5,1.6,0.106736872929384,0.106737,21.220273,0.01,0,2,2,2,3,2,2,2,2,2,3,4,2,2,2,2,2,1,1,1,2,2,3,2,2,2,3,5,3,3,3,2,2,2,3,2,3,2,4,4,2,4,1,1,1,1,2,2,2,4
140,hford,45,hexagonal,5, 9,L2norm,noPCA,1000,0.05,0.01,5,1.8,0.112668971032534,0.112669,21.930542,0.01,0,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,2,2,2,2,2,3,1,1,1,3,5,3,3,3,1,1,1,3,1,3,1,1,1,1,1,2,2,2,2,4,1,4,4
141,hford,30,hexagonal,6, 5,L2norm,noPCA,1000,0.05,0.01,5,0.8,0.166300945722755,0.166301,19.924019,0.01,0,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,3,3,3,2,2,1,2,2,2,1,5,1,1,1,2,2,2,1,2,1,2,2,2,2,2,3,3,3,3,2,2,2,4
142,hford,36,hexagonal,6, 6,L2norm,noPCA,1000,0.05,0.01,5,1.0,0.132271824971518,0.132272,23.749842,0.01,0,1,1,1,4,1,1,1,2,1,4,2,1,1,1,1,1,5,5,5,1,1,4,1,1,1,4,3,4,4,4,1,1,2,4,2,4,1,2,2,1,2,5,5,5,5,2,1,2,2
143,hford,42,hexagonal,6, 7,L2norm,noPCA,1000,0.05,0.01,5,1.2,0.112155556379027,0.112156,17.738397,0.01,0,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,3,3,3,3,3,3,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,3,3,4
144,hford,30,hexagonal,3,10,L2norm,noPCA,1000,0.05,0.01,6,3.3,0.156570500343123,0.156571,23.106178,0.01,0,3,3,3,1,2,2,2,2,2,1,2,2,2,2,2,2,4,4,3,3,3,1,3,3,3,1,5,1,1,1,2,2,2,1,2,1,2,2,2,2,2,4,4,4,4,3,3,3,6
145,hford,33,hexagonal,3,11,L2norm,noPCA,1000,0.05,0.01,6,3.7,0.183944908893205,0.183945,24.937135,0.01,0,5,5,5,4,2,2,2,2,2,3,2,2,2,2,2,2,1,1,1,5,5,4,5,5,5,4,6,3,3,3,2,2,2,3,2,3,2,2,2,2,2,1,1,1,1,2,5,2,2
146,hford,36,hexagonal,3,12,L2norm,noPCA,1000,0.05,0.01,6,4.0,0.176653333378315,0.176653,26.442199,0.01,0,3,3,3,3,2,2,2,2,2,1,2,2,2,2,2,2,4,4,4,3,3,3,3,3,3,3,6,1,1,1,2,2,2,1,2,1,2,2,2,2,2,4,4,4,4,5,3,5,5
147,hford,28,hexagonal,4, 7,L2norm,noPCA,1000,0.05,0.01,6,1.8,0.165655293255137,0.165655,25.013089,0.01,0,2,2,2,5,2,2,2,4,2,1,4,2,2,2,2,2,3,3,3,2,2,5,2,2,2,5,6,1,1,1,2,2,4,1,4,1,2,4,2,2,4,3,3,3,3,4,2,4,4
148,hford,32,hexagonal,4, 8,L2norm,noPCA,1000,0.05,0.01,6,2.0,0.140028027052644,0.140028,19.400754,0.01,0,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,5,2,2,2,5,6,3,3,3,2,2,2,2,2,2,2,2,2,2,4,1,1,1,1,4,2,4,4
149,hford,36,hexagonal,4, 9,L2norm,noPCA,1000,0.05,0.01,6,2.3,0.109988282072044,0.109988,24.197695,0.01,0,3,3,3,6,3,3,3,4,3,1,4,3,3,3,3,3,2,2,2,3,3,6,3,3,3,6,5,1,1,1,3,3,3,1,3,1,3,4,4,3,4,2,2,2,2,4,3,3,4
150,hford,30,hexagonal,5, 6,L2norm,noPCA,1000,0.05,0.01,6,1.2,0.165002354962936,0.165002,20.840878,0.01,0,2,2,2,5,2,2,2,2,2,6,2,2,2,2,2,2,1,1,1,2,2,5,2,2,2,5,3,6,6,6,2,2,2,6,2,6,2,2,2,2,2,1,1,1,1,2,2,2,4
151,hford,35,hexagonal,5, 7,L2norm,noPCA,1000,0.05,0.01,6,1.4,0.135486465023312,0.135486,20.36143,0.01,0,2,2,2,3,2,2,2,5,2,3,5,2,2,2,2,2,4,1,4,4,4,3,2,2,2,3,6,3,3,3,2,2,2,3,2,3,2,5,2,2,5,1,1,1,4,2,2,2,5
152,hford,40,hexagonal,5, 8,L2norm,noPCA,1000,0.05,0.01,6,1.6,0.143226051346434,0.143226,28.097467,0.01,0,3,3,3,3,2,2,2,4,2,1,4,2,2,2,2,2,5,5,5,3,3,3,3,3,3,3,6,1,1,1,2,2,2,1,2,1,2,4,4,2,4,5,5,5,5,4,3,4,4
