site,event_start,season,q_mm,NO3_kg_km2,SRP_kg_km2,event_NO3_SRP,turb_kg_km2
Hungerford,2017-08-05 09:15:00,summer,2.8582768368056133,NA,NA,NA,18.853038311132302
Hungerford,2017-08-12 12:15:00,summer,2.905989206033264,NA,NA,NA,21.924028578223286
Hungerford,2017-08-15 14:00:00,summer,2.0885211215363824,2.1063382935088595,0.16889866662622247,27.577447576295175,21.45521573711431
Hungerford,2017-08-17 19:30:00,summer,6.529953768324324,7.649552395845468,1.2672952091163128,13.347821677454068,121.66278847264354
Hungerford,2017-08-22 15:15:00,summer,4.0654077895197505,4.121119912365004,0.4290129548150585,21.24207853091431,72.99101448801918
Hungerford,2017-09-03 08:00:00,fall,3.718447380074844,NA,NA,NA,NA
Hungerford,2017-09-05 11:45:00,fall,3.746319361821206,NA,NA,NA,NA
Hungerford,2017-09-07 01:30:00,fall,11.936553387941787,NA,NA,NA,NA
Hungerford,2017-10-05 15:00:00,fall,0.9929638349251559,0.24157688291581664,0.022149004638747603,24.118668284407285,9.6292755910760075
Hungerford,2017-10-09 10:45:00,fall,8.499770562199584,NA,NA,NA,NA
Hungerford,2017-10-26 14:00:00,fall,6.624630668114345,9.494867017470785,1.043052058977204,20.12959639183703,120.83347995018276
Hungerford,2017-10-30 01:00:00,fall,6.664676160087319,14.394467263706268,1.1658391506075088,27.302921865775126,214.04287618324392
Hungerford,2017-11-03 06:15:00,fall,10.681807671430354,29.404768288484195,2.8838573593677235,22.54738347844154,1070.9793592613553
Hungerford,2017-11-05 22:30:00,fall,11.041511493929313,33.558830887724675,1.641961728859522,45.19557933028031,328.1260622838956
Hungerford,2017-11-19 03:00:00,fall,6.678570813548856,16.225791020383802,1.5859631357898516,22.623768867079594,174.120243965453
Hungerford,2017-11-22 09:45:00,fall,3.110920021066528,NA,NA,NA,NA
Hungerford,2017-11-25 22:15:00,fall,7.811554264353431,NA,NA,NA,NA
Hungerford,2017-11-28 08:00:00,fall,15.405052612415801,45.63293777645491,0.11013127018827477,916.2625708571659,112.82516202785618
Hungerford,2018-03-29 11:30:00,spring,19.16169927704158,NA,NA,NA,NA
Hungerford,2018-04-04 02:30:00,spring,6.303047538255718,11.930205234504408,0.02307848073132294,1143.1227411750901,456.6380955340033
Hungerford,2018-04-12 18:15:00,spring,3.0254612577193347,5.18451183702323,7.36699816254658e-4,15562.145597543735,70.15498393448318
Hungerford,2018-04-13 21:30:00,spring,6.797098200330561,13.017938340343447,0.10577999938864116,272.1390192758514,313.5702278813745
Hungerford,2018-04-16 06:00:00,spring,15.119594735538461,41.718868145418476,0.6734923075721995,136.97838545578534,1917.9110599316955
Hungerford,2018-04-20 14:45:00,spring,2.5190481352640335,7.51843714005003,6.133882209367921e-4,27104.68138693217,23.33514150359885
Hungerford,2018-04-25 14:00:00,spring,14.948249388829522,NA,NA,NA,1190.8841198377525
Hungerford,2018-04-29 07:30:00,spring,19.294549223388774,44.624631231622374,1.2591486887624737,78.36998940021469,2023.2420962329836
Hungerford,2018-05-03 08:45:00,spring,6.2132145287089395,13.605905947808244,0.2116345776903418,142.16510298877918,189.68122430127553
Hungerford,2018-05-04 19:00:00,spring,4.859728249621622,12.380487569787624,0.13382294248104987,204.57819333625358,115.14462213143591
Hungerford,2018-05-15 09:00:00,spring,1.8577120623399168,NA,NA,NA,8.843249595799765
Hungerford,2018-05-20 06:30:00,spring,1.5892987212972973,2.774714677008424,3.869942386358919e-4,15854.990905127177,9.07075530834943
Hungerford,2018-05-26 07:30:00,spring,2.312550943128898,3.3340794863342613,9.178973359240914e-4,8032.190598288898,22.415930483722523
Hungerford,2018-06-30 21:30:00,summer,1.2496026126985447,NA,NA,NA,NA
Hungerford,2018-07-25 19:00:00,summer,0.8978395142432433,0.7946765540816955,0.19346016522629286,9.083453784939111,17.902592961337522
Hungerford,2018-08-08 19:15:00,summer,0.8904343516839917,1.0010321135786135,0.13185709582194824,16.787911432273503,29.526216185348044
Hungerford,2018-10-02 13:45:00,fall,0.9312675717817048,0.5105269729478579,0.051567050638787915,21.892661640607614,NA
Hungerford,2018-10-11 10:00:00,fall,1.259298621879418,1.4828658231579226,0.1339681588577859,24.47667561548622,11.1594976074778
Hungerford,2018-10-27 22:00:00,fall,1.1205640711309772,1.6151251108611344,0.42869763888958257,8.33119391413481,14.204744613758045
Hungerford,2018-11-01 18:45:00,fall,14.24116078181289,84.60872508605708,2.961841242078912,63.16922376134229,832.8824975835541
Hungerford,2018-11-06 16:00:00,fall,3.5111579977983367,21.933103453378298,0.18869332147605652,257.0370470659744,27.552979554046413
Hungerford,2018-11-09 22:45:00,fall,6.51920635633472,36.524578345581205,0.7248596225128232,111.4252116743887,124.47052634340763
Hungerford,2018-11-13 10:15:00,fall,2.7002543988180876,NA,NA,NA,16.912451548493298
Hungerford,2018-11-25 06:30:00,fall,14.026204721713098,67.11594808487828,6.530215837926743,22.727431574728605,459.6792677281504
Hungerford,2019-03-22 12:30:00,spring,4.505336203909989,NA,NA,NA,NA
Hungerford,2019-03-23 11:15:00,spring,5.1049030308033565,NA,NA,NA,NA
Hungerford,2019-03-24 13:00:00,spring,4.5346891541525105,NA,NA,NA,NA
Hungerford,2019-03-25 12:30:00,spring,3.3287069008435557,NA,NA,NA,NA
Hungerford,2019-03-26 06:15:00,spring,1.1723838450239348,NA,NA,NA,NA
Hungerford,2019-03-26 13:00:00,spring,2.2206365011056195,NA,NA,NA,NA
Hungerford,2019-03-27 03:45:00,spring,1.5847685540537737,NA,NA,NA,NA
Hungerford,2019-03-27 13:00:00,spring,2.013576530112366,NA,NA,NA,NA
Hungerford,2019-03-28 09:15:00,spring,18.468938564089846,NA,NA,NA,NA
Hungerford,2019-03-30 15:45:00,spring,24.529959521119796,35.75222031367605,1.5589245911696434,50.714257963393365,3034.4772627856773
Hungerford,2019-04-02 08:45:00,spring,16.988110984036478,27.549705545351006,0.04091437924051976,1488.9947291471378,299.11882723655617
Hungerford,2019-04-05 08:15:00,spring,10.484992926266687,19.481925180481827,0.0018955864217278572,22726.912889955114,91.27230654760957
Hungerford,2019-04-07 13:45:00,spring,26.165608106427193,68.727421861982,1.1755484047062579,129.2830834514178,725.0698467078217
Hungerford,2019-04-12 14:30:00,spring,8.729542041822558,18.40592806541623,0.08262223763537467,492.62101312243306,103.55493851188196
