site,event_start,DOY,season,NO3_kg_km2,SRP_kg_km2,event_NO3_SRP,turb_kg_km2,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,rain_int_mmPERmin_mean,rain_1d,rain_2d,rain_3d,rain_4d,rain_7d,rain_14d,rain_30d,API_4d,q_event_max,q_event_delta,airT_1d,airT_4d,solarRad_1d,solarRad_4d,dewPoint_1d,dewPoint_4d,q_event_dQRate_cmsPerHr,q_1d,q_4d,q_mm,NO3_1d,SRP_1d,turb_1d,turb_event_max,gw_event_max_well1,gw_event_max_well2,gw_event_max_well3,gw_event_max_well4a,gw_event_max_well5,gw_event_delta_well1,gw_event_delta_well2,gw_event_delta_well3,gw_event_delta_well4a,gw_event_delta_well5,gw_1d_well1,gw_1d_well2,gw_1d_well3,gw_1d_well4a,gw_1d_well5,gw_4d_well1,gw_4d_well2,gw_4d_well3,gw_4d_well4a,gw_4d_well5,gw_1d_allWells,gw_4d_allWells,DO_pre_WWp1_15cm,Redox_pre_WWp1_15cm,SoilTemp_pre_WWp1_15cm,VWC_pre_WWp1_15cm,DO_pre_WWp1_30cm,Redox_pre_WWp1_30cm,SoilTemp_pre_WWp1_30cm,VWC_pre_WWp1_30cm,DO_pre_WWp1_45cm,Redox_pre_WWp1_45cm,SoilTemp_pre_WWp1_45cm,VWC_pre_WWp1_45cm,DO_pre_WWp6_15cm,Redox_pre_WWp6_15cm,SoilTemp_pre_WWp6_15cm,VWC_pre_WWp6_15cm,DO_pre_WWp6_30cm,Redox_pre_WWp6_30cm,SoilTemp_pre_WWp6_30cm,VWC_pre_WWp6_30cm,DO_pre_WWp6_45cm,Redox_pre_WWp6_45cm,SoilTemp_pre_WWp6_45cm,VWC_pre_WWp6_45cm,DO_pre_WWp8_15cm,Redox_pre_WWp8_15cm,SoilTemp_pre_WWp8_15cm,VWC_pre_WWp8_15cm,DO_pre_WWp8_30cm,Redox_pre_WWp8_30cm,SoilTemp_pre_WWp8_30cm,VWC_pre_WWp8_30cm,DO_pre_WWp8_45cm,Redox_pre_WWp8_45cm,SoilTemp_pre_WWp8_45cm,VWC_pre_WWp8_45cm,DO_pre_dry_15cm,DO_pre_dry_30cm,DO_pre_dry_45cm,Redox_pre_dry_15cm,Redox_pre_dry_30cm,Redox_pre_dry_45cm,SoilTemp_pre_dry_15cm,SoilTemp_pre_dry_30cm,SoilTemp_pre_dry_45cm,VWC_pre_dry_15cm,VWC_pre_dry_30cm,VWC_pre_dry_45cm,DO_pre_wet_15cm,DO_pre_wet_30cm,DO_pre_wet_45cm,Redox_pre_wet_15cm,Redox_pre_wet_30cm,Redox_pre_wet_45cm,SoilTemp_pre_wet_15cm,SoilTemp_pre_wet_30cm,SoilTemp_pre_wet_45cm,VWC_pre_wet_15cm,VWC_pre_wet_30cm,VWC_pre_wet_45cm,time_sinceLastEvent,multipeak,PET_mmHR,diff_airT_soilT
Wade,2018-04-16 13:45:00,106,spring,0.2812024142416483,0.001837769485886511,338.3609020216583,0.8948057104175569,17,32.083333333333336,0.12,0.008808290155440416,3,3,14.8,35.4,35.4,55,88.8,46.745853749999995,0.185770786,0.162196435,-1.5873611111111112,0.26679687500000004,54.104166666666664,64.73871527777777,-4.810833333333333,-2.848142361111111,0.017073308947368422,0.0325280025625,0.5036668142213542,0.8477660577125748,0.40432908364899606,0.0018197951885625685,0.7738505747126436,2.0886666666666667,-0.034001118999999996,-0.037001439,0.032498881,-0.014500959,-0.251,0.09799744200000002,0.015998081500000004,0.0194984015,0.047498561499999994,0.025000479500000006,-0.13459378330208333,-0.05907817078125,0.012437550786458333,-0.061906306625,-0.26276036672395836,-0.09030991000260417,-0.057539186979166664,0.015002626434895833,-0.053703144811197916,-0.26197009392578124,0.8477719389593804,0.883163344288595,18.969679270833332,628.675,0.5,0.2742291666666667,20.169775729166666,642.1239583333333,1.5,0.3136145833333333,19.387484895833335,634.7520833333333,2.1479166666666667,0.14477083333333332,7.17896790625,-240.48229166666667,1.5770833333333334,0.6338854166666666,0.02367402194791667,-170.79583333333332,1.9,0.7332291666666666,-0.1351785875,-127.465625,2.3989583333333333,0.5911666666666666,19.440542395833333,581.7510416666667,0.8291666666666667,0.21440625,17.8732575,363.878125,1.1020833333333335,0.5140833333333333,17.389283854166667,659.7104166666667,1.5322916666666666,0.5186354166666667,0.8403909433769537,0.8830738931337418,0.8841415340733629,0.605008120790256,0.6541075298238913,0.6504670600324906,0.00594801190540468,0.007719225562074147,0.01366207248102293,0.5697904667965563,0.7099566030349754,0.8140013558845931,0.4600809135115823,0.3140166717816533,0.5728626326897263,0.9316285038005252,0.9450667148285183,0.5710005258197832,0.009878186404471384,0.009457871160271088,0.008937653217228298,0.7748030852434369,0.809184148581289,0.7612200418871911,1.3958333333333333,MP,0.0771,-2.6136631944444444
Wade,2018-04-22 10:45:00,112,spring,0.06745677047512737,5.586017078844615e-4,267.0394663657781,0.3188124546314371,0,0,0,0,7,7.2,10.2,11.8,31.8,64.2,106.60000000000001,10.705835,0.129874686,0.11956260899999999,1.689548611111111,0.36784722222222227,166.80902777777777,68.73177083333333,-3.3278125,-1.3593055555555555,0.012925687459459458,0.02044600653125,0.019777415231770835,0.26473284468862274,0.2917924409996541,0.001964872169358414,0.8661319444444444,1.7993333333333335,-0.0395002395,-0.0405002395,0.04,0.0044997605,-0.021,0.11599999999999999,0.0504997605,0.036500239500000004,0.08549976050000001,0.1309995205,-0.102786399234375,-0.060104090078125,0.02729170496875,-0.05035946742708333,-0.08775520583854167,-0.11229556463020833,-0.058917937390625,0.0197291903359375,-0.059428391817708336,-0.1927134855078125,0.9332277447557104,0.896543283775657,18.776499166666667,622.8466145833333,0.5,0.2735885416666667,19.965848229166667,636.88359375,1.5549479166666667,0.3167734375,19.190790651041667,629.6231770833333,2.1710937500000003,0.14777864583333333,4.937188388020833,-236.95572916666666,1.5419270833333334,0.635,-0.058381369427083336,-166.7453125,1.9041666666666666,0.7327005208333334,-0.13918169010416667,-99.96536458333333,2.41171875,0.5918307291666667,19.467851119791668,567.9736979166667,0.96328125,0.21308854166666666,18.200375078125,354.740625,1.21796875,0.5123333333333333,17.0875821875,643.6921875,1.6471354166666667,0.5197473958333334,0.7860576230765212,0.8418109609284763,0.8200577285319217,0.5777316724660485,0.5947932008314581,0.6341462451897137,0.006524075205000813,0.009862209227003552,0.014503271018643292,0.5810325869174179,0.7185924993232077,0.7364319365140514,0.407825754111126,0.33841267121458024,0.5173896073377996,0.9214798825092978,0.94159198414142,0.5701943576265971,0.012793111391102127,0.01325703467999545,0.013430780461952105,0.7748220440459065,0.8014258390252829,0.7707507255845479,4.239583333333333,NO,0.0044,0.653220486111111
Wade,2018-04-23 10:45:00,113,spring,0.24945882511589662,0.002110379136680872,261.3909536375848,1.1812112407674618,0,0,0,0,0,7,7.2,10.2,28.8,64.2,106.60000000000001,8.932493749999999,0.514692921,0.49223834099999997,3.1231597222222223,0.863107638888889,200.55902777777777,106.39930555555556,-4.1023958333333335,-2.4359982638888886,0.05966525345454545,0.05116942715625,0.02560431965625,0.9807885442994012,0.26338413503327973,0.0020864590628786274,1.0479097222222222,2.3226666666666667,-0.080771663,-0.0860872495,0.018,-0.0711957525,-0.042163007,0.07122881650000001,0.007913230000000007,0.015500239499999999,0.015804727000000005,0.108337712,-0.09989060086979167,-0.06335933917708333,0.025390694901041667,-0.051911349234375,-0.08503121003125,-0.10970833004817708,-0.060494761967447915,0.02290759801171875,-0.05732811057421875,-0.14955464403385416,0.9286384445145925,0.9141576228890932,19.120915,600.2,0.5,0.277,20.3642875,621,1.6,0.322,19.513255,610,2.1750000000000003,0.15625,4.7497965,-238.15,1.7,0.635,-0.037718535,-177.65,2,0.73275,-0.149277425,-101.675,2.5,0.592,19.9047725,569.075,0.925,0.21425,18.9024275,356.375,1.225,0.513,17.597949999999997,647.075,1.675,0.52175,0.8839921053095126,0.9669335968977067,0.9609643871769524,0.5029919298484263,0.5030599868380525,0.5609628585068989,0.007007496180217495,0.009467173213803942,0.012168401639614343,0.5860796456181905,0.7103892114762724,0.7594597515407847,0.4966804891758446,0.39319244258441477,0.6023006417868096,0.9201605649492048,0.9223957193732866,0.5728226204873071,0.016555862948112232,0.01681588434955808,0.017867081033957857,0.7791470183481892,0.8041587562069809,0.7780534886161519,0.010416666666666666,NO,0.0057,2.0794097222222225
Wade,2018-04-24 10:15:00,114,spring,2.2828194679004308,0.012338220005147012,409.1393237108826,20.51472748175594,0,0,0,0,0,0,7,7.2,16.8,64.2,106.60000000000001,6.164526249999999,2.667863146,2.589110368,8.058402777777777,2.9355121527777777,202.27083333333334,144.30729166666666,-4.304409722222222,-3.2518402777777777,0.2958983277714286,0.19003036510416665,0.06857718977864584,7.41770132691018,0.263091211223738,0.0019684338024174197,0.9710907738116094,6.717333333333333,-0.072,-0.086,0.0219995205,-0.072,-0.039,0.06899952050000001,0.020499281000000008,0.016999041,0.014998561000000007,0.075500719,-0.12109369753125,-0.095073310515625,0.012317730005208333,-0.078333280890625,-0.10233332252604167,-0.11466590029817708,-0.0702268236171875,0.022730317354166668,-0.06024570184375,-0.1139605417421875,0.8490221293732858,0.9095672602954531,19.153907500000003,609.3,0.5,0.281,20.3609025,627.8,1.5,0.32575,19.459155,617.525,2.125,0.16175,4.45856375,-225.525,1.7,0.635,0.00995062225,-172.625,2.2,0.7335,-0.164948925,-99.55,2.6,0.593,19.7808875,569.15,1.0750000000000002,0.221,18.787397499999997,361.4,1.2,0.5165,17.449887500000003,644.9,1.6,0.52225,0.8472775912762722,0.9261752061845977,0.8534317436560694,0.6640469762058049,0.775449692804529,0.7282708306380832,0.03218301882019724,0.02529193695207256,0.01778564000582442,0.6860947414657405,0.9049030041330014,0.9108862319237341,0.4625597426728435,0.3848452072182837,0.5678210194622174,0.949742303864608,0.9384250362168622,0.5717480314622791,0.02103647031933367,0.022992060832416776,0.0191882000608947,0.8042822950107831,0.8192250280172599,0.7890761431831751,0.010416666666666666,NO,0.0157,6.577152777777777
Wade,2018-04-25 10:00:00,115,spring,NA,NA,NA,191.62645092350027,24.6,40,0.12,0.010228690228690229,0,0,0,7,11.8,64.2,106.60000000000001,30.30154375,3.318759674,2.493435708,11.341354166666667,6.0181684027777775,198.30555555555554,191.95225694444446,-1.1664930555555555,-3.244817708333333,0.2557369956923077,1.43454785275,0.42381288778125,28.883700701407186,0.3143903581852912,0.0015515740783718314,2.079451388888889,41.49066666666667,-0.0370004795,-0.048000639,0.029999041,-0.0094997605,-0.02050016,0.0900000005,0.039000320000000005,0.01400048,0.07350023950000001,0.08050032,-0.11131770503125,-0.093203180765625,0.010364612463541667,-0.08237495003125,-0.08927090075520833,-0.10881116316796875,-0.07775659284244792,0.01893753975,-0.06563799355989583,-0.09148177124609375,0.8549455213859061,0.903023717222603,19.233365,630,0.5,0.285,20.296475,646.525,1.5,0.332,19.39599,639.05,2,0.167,4.095482499999999,-234.575,1.6,0.636,0.20456585,-175.25,2.3,0.7335,-0.1758727,-119.175,2.8,0.593,19.605395,575.45,1.05,0.2365,18.331719999999997,378.05,1.3,0.5305,17.91504,651.4,1.6,0.5235000000000001,0.7616782970461655,0.8646874006289281,0.8373734676237305,0.7987104116102662,0.8800059383869636,0.8614407508892533,0.10181473042942873,0.06494972976115322,0.03852452046228594,0.7679087232505819,0.8189474870952473,0.9293241474885703,0.415507553481745,0.3518497684047245,0.6442976957726869,0.9370153121386404,0.9540144782108345,0.5669973670021901,0.01718591968892156,0.029627471338220156,0.027044334597198627,0.8664197185438121,0.875093504312648,0.7926195723367386,0.010416666666666666,MP,0.0045,8.666354166666668
Wade,2018-04-27 13:00:00,117,spring,NA,NA,NA,5.1777288035622755,1.8,9.25,0.04,0.0032142857142857147,3.8000000000000003,23.400000000000002,24.6,24.6,31.6,68.2,127.4,24.12785,2.521882533,1.288157614,6.416736111111111,8.599418402777777,32.267361111111114,120.00086805555556,6.417395833333333,2.301032986111111,0.21469293566666667,2.6252616261145834,1.800976649528646,5.932467828377246,NA,NA,3.4479375,1.1433333333333333,-0.126214043,-0.07000047949999999,0.0074997605,-0.033001918,-0.083500719,0,0.004642404500000016,0.0019282244999999998,0.010783662,8.563969999999949e-4,-0.08653387596875,-0.069153661265625,0.016354185119791666,-0.026361972765625,-0.05098179536458333,-0.09838483273046875,-0.080042656578125,0.0148350252734375,-0.055367028796875,-0.06973093769921875,0.9475907432308139,0.9156347808702459,19.2216775,612.45,0.5,0.294,20.156865,630.275,1.9,0.338,19.20542,621.325,2.575,0.16225,2.3132535,-237.525,3.2,0.6355,0.0178220575,-182.45,2.975,0.7395,-0.21544922500000002,-138.55,3.1,0.5914999999999999,19.067305,562.875,2.525,0.25725,13.928495,398.95,2.5,0.522,18.4673575,636.95,2.1,0.5245,0.5599956850275593,0.7835048170531683,0.6583118885972559,0.4678352177483187,0.6557348177236797,0.8125231556686887,0.1410140087240224,0.11432866268025664,0.09504067764178528,0.7753968970492651,0.9338003598678595,0.8941185584567721,0.2538964184321261,0.007571453147328489,0.721021558183502,0.9133470898930086,0.9659814353863234,0.5397689513075319,0.11090574926926887,0.09097066281947194,0.056208191343088715,0.9414777304638046,0.849966579881907,0.7810463913011914,0.010416666666666666,NO,0.1832,3.0667361111111107
Wade,2018-04-28 11:30:00,118,spring,NA,NA,NA,28.947576102874454,23,26.5,0.12,0.014420062695924765,2,4.6000000000000005,23.400000000000002,26.6,26.6,58.400000000000006,129.4,45.97157,2.901360286,2.229478285,7.8325,8.424800347222222,80.75,89.69184027777777,6.5059375,4.855234375,0.07250335886178862,1.3831808201458333,2.0793800733255208,17.84704224723952,NA,NA,0.8364652777777778,4.066,-0.036000959,-0.057000159499999994,0.0235002395,-0.023,-0.017,0.10800000000000001,0.03000032050000001,0.0265016785,0.044000000000000004,0.090000959,-0.13360191166145835,-0.07671726888020833,0.00497842803125,-0.045252233859375,-0.09254321602604167,-0.10187893602083334,-0.075416680859375,0.013108064364583333,-0.047614586009114584,-0.06854694717057291,0.8877059887082867,0.9250438146155953,19.25307,612.45,0.725,0.294,20.03792,631.45,2.6,0.33325000000000005,19.109195,622.425,2.975,0.156,2.93504625,-244.325,4.1,0.6365000000000001,-0.02334789,-193.525,3.475,0.7435,-0.22841582500000002,-165.65,3.375,0.593,18.99195,565.65,3.05,0.23175,15.9145775,388.1,2.9,0.51525,18.5516375,637.6,2.4,0.523,0.510863420676184,0.7482350602646967,0.6896650398327953,0.44611924276282394,0.634171684420714,0.7660607913233639,0.17465034271906843,0.1511810814840506,0.12077942310083356,0.7660574345174496,0.8101028043077889,0.8760640935920749,0.25385241454728164,0.16131549342061624,0.7290620383053423,0.901170675937247,0.9309328633896947,0.5242162615303191,0.15452191968542067,0.12099454000237864,0.07743816929536712,0.850941621675894,0.8288921410242697,0.7912022006753132,0.21875,MP,0.0277,3.91375
Wade,2018-04-30 08:45:00,120,spring,NA,NA,NA,3.681116300714551,12,2.3333333333333335,0.16,0.08275862068965517,19,23,25,37.2,49.6,78.4,134.8,45.31172625000001,1.640356564,1.0054841749999999,3.3338888888888887,6.730347222222222,24.770833333333332,61.15190972222222,3.3168055555555553,5.82609375,0.2872811928571428,2.0671510182291666,1.97742068840625,3.862067064520958,NA,NA,1.7931319444444445,1.9506666666666668,-0.03600048,-0.054001439,0.0245002395,-0.024499760500000002,-0.01700048,0.0444997595,0.012998561000000006,0.0060004789999999995,0.0065007189999999986,0.008499759500000002,-0.06491145667187499,-0.06602083333333333,0.016723976661458334,-0.030875025765625,-0.024562542479166668,-0.10082031667317709,-0.07182162982552083,0.011444031622395833,-0.0367291764140625,-0.06085941138020833,0.9648911411653709,0.9392821081025856,19.498465,628.1999999999999,2.2,0.299,20.138015,645.3,3.8,0.339,19.064615,640.2750000000001,3.75,0.165,2.4034985,-255.4,4.15,0.641,-0.149248725,-216.45,4.2,0.74475,-0.2652715,-190.875,3.9,0.59175,19.3245775,581.05,3.05,0.256,15.4016275,395.5,3.25,0.52475,18.6920925,653.175,3,0.5255000000000001,0.7202839202063308,0.760918839525729,0.6156289128942956,0.4592410277284687,0.6517672277028497,0.7849487110645679,0.17850656097675568,0.2034996333248413,0.18010254465745024,0.8182461251308791,0.9552596571896521,0.9310177168078776,0.3114164765516449,0.1199273537986807,0.7343909832994587,0.8958575174480521,0.8955045790463817,0.5259084210496008,0.15607381105302498,0.15727685862153973,0.11891610838288598,0.9611296441451884,0.8686348140235276,0.7862824553504427,0.020833333333333332,NO,5e-4,-0.6536111111111111
Wade,2018-05-01 12:30:00,121,spring,NA,NA,NA,2.5186508204348264,0.6000000000000001,0.5833333333333334,0.04,0.015000000000000003,12,31,35,37,61.6,78.60000000000001,146.8,34.2060125,1.449235279,1.211427539,5.98,6.464322916666667,65.44444444444444,70.62673611111111,5.609479166666667,5.467083333333333,0.19382840624,0.78030659446875,1.4300395933515624,3.7863647656167663,NA,NA,0.7160694444444444,1.0366666666666666,-0.13250063950000002,-0.082,0.018000959,-0.053800245,-0.101200075,0.0030994244999999754,0.006200180999999999,0.013001012,0,0,-0.10642296530729167,-0.07529381480729166,0.008052050020833333,-0.038055315125,-0.06915839397916666,-0.10598018250390626,-0.07367856839713542,0.0091209165234375,-0.0403516427109375,-0.06548661584375,0.9134331479086464,0.9290606795243997,19.33952,613.95,3.8,0.294,20.26569,633.7,3.7,0.331,19.2422575,624.7249999999999,3.6500000000000004,0.1545,2.027373,-255.15,5,0.641,-0.23001415,-216.075,4.2,0.75,-0.2745086,-186.025,3.9,0.59425,19.1346475,566.9,3.525,0.22825,16.6137925,382.29999999999995,3.475,0.515,18.7473975,640.825,3,0.523,0.731295499923208,0.7625161746833138,0.5555190171644904,0.42294798926082633,0.6235760800774547,0.7483911496388106,0.23009993702774445,0.19380243829292182,0.16997714171642872,0.7242875694381843,0.8616363137956815,0.8793735510769809,0.26092954397536616,0.21307715907112026,0.7392816397150513,0.8775602755160646,0.8798241554955971,0.5154784763907648,0.1966445543111654,0.1643715031502878,0.11891610838288598,0.857795728976747,0.8374204800442656,0.8032088043073105,0.4270833333333333,NO,0.0331,1.08
Wade,2018-05-02 09:30:00,122,spring,NA,NA,NA,55.144498364123535,6.4,3.8333333333333335,0.24,0.02723404255319149,0,0.6000000000000001,21.8,35.6,60.6,73,146,36.35803625,2.987892773,2.432171287,9.824409722222223,6.960217013888889,150.58333333333334,88.42361111111111,6.318888888888889,5.418862847222222,0.18016083607407407,0.7728910198125,1.2934621119296874,11.726754375610778,NA,NA,0.6237569444444444,11.068666666666667,-0.0860003195,-0.074000959,0.016,-0.032,-0.027,0.061001119500000006,0.024999999999999994,0.01300048,0.041000480000000006,0.094001439,-0.13615102602083334,-0.08724482036458334,0.010250004166666667,-0.058651112166666665,-0.10619270701041666,-0.10666667895442708,-0.0761862364453125,0.010328132493489583,-0.0439115118359375,-0.06886591790364584,0.8640001364050233,0.9226955618254283,19.204832500000002,608.375,5.175,0.289,20.1248975,627.975,4.7,0.324,19.15061,619.7,4.05,0.148,2.5777985,-255.9,6.425000000000001,0.64275,-0.351343475,-221.225,5,0.7505,-0.3027433,-226.4,4.3,0.597,18.910197500000002,559.65,4.45,0.2245,17.623559999999998,368.1,4.25,0.515,18.5663225,636.275,3.5,0.52275,0.7078091660847955,0.6907915993705308,0.5953577029631772,0.3753945592803447,0.5899520336936578,0.6795237825389815,0.30839888401105686,0.25127002117470065,0.1993895744699193,0.6049487347633321,0.777805983810127,0.8403474301116282,0.22705711997760517,0.29000837816310665,0.6923136224053543,0.8661348599321987,0.85214500527660475,0.4863469393244725,0.2685038704104192,0.2166664933601874,0.152008032396928,0.8515656028324986,0.8381532485352204,0.828914646466993,0.010416666666666666,NO,0.002,3.5744097222222226
Wade,2018-05-03 10:00:00,123,spring,NA,NA,NA,88.85994234546305,14.4,14.5,0.16,0.016457142857142858,6.4,7,19,38,56.2,78.8,152.4,46.78561875,3.214367892,2.0871651169999996,18.104895833333334,9.116432291666667,160.19444444444446,100.45833333333333,10.10138888888889,6.132291666666667,0.17393042641666664,2.2548267758958334,1.4831298148984375,13.845554258658682,NA,NA,4.009548611111111,44.37533333333334,-0.057500639,-0.073001439,0.019,-0.029,-0.026,0.07149840200000002,0.006998561,0.006999040999999999,0.014999999999999996,0.066004317,-0.12943224753645832,-0.09313013755729167,0.0040886274375,-0.06803124335416667,-0.09984890420833334,-0.10665104188151042,-0.07970573688411459,0.010299497279947917,-0.0485130614375,-0.07295314124869792,0.8503824658365315,0.9133768710610288,18.9028725,596.625,8.2,0.288,19.91452,620.75,6.35,0.323,19.09884,613.25,4.9,0.146,2.35243975,-253.125,8.4,0.644,-0.532390675,-226.27499999999998,6.05,0.75925,-0.360319975,-232.175,4.95,0.598,18.53821,551.6,6.3,0.22875,18.206805000000003,357.1,5.8,0.5185,18.344835,631.175,4.4,0.524,0.638235660440025,0.6169245684633624,0.5486489581901823,0.3425431796847877,0.583197183008769,0.6958062666781233,0.4485482555538211,0.3401670973188072,0.25705387675498986,0.5978784560762624,0.72574346689965,0.8405908930938656,0.14143011603757027,0.3330784324342597,0.6226666980383717,0.8618734789683273,0.8286388123896726,0.47737464516485545,0.38506440367585204,0.3021041804016743,0.20882384853449737,0.8729157438011209,0.8649438162007779,0.8420633585261543,0.010416666666666666,NO,0.01,9.4236458333333335
Wade,2018-05-04 15:15:00,124,spring,NA,NA,NA,45.07200859245586,9.4,2.8333333333333335,0.44000000000000006,0.053714285714285714,6.4,20.8,20.8,21.400000000000002,58.400000000000006,90,149.8,28.964703749999998,3.039256073,2.2440393039999997,14.328194444444444,12.565668402777778,37.11805555555556,103.00607638888889,14.22076388888889,9.557204861111112,0.34523681599999995,2.2356497861354168,1.5811537102265625,7.147397784664671,NA,NA,5.742180555555556,28.685333333333332,-0.03600048,-0.069,0.026,-0.019,-0.0210006395,0.10599951999999999,0.0345002395,0.0264997605,0.054499760499999994,0.09549959999999999,-0.09677082748958334,-0.08836978499479167,0.009921889161458333,-0.05184367840625,-0.05901562415625,-0.11740493605208334,-0.08644140959114584,0.008071630194010417,-0.05462502334244792,-0.08262110791015626,0.895842032138669,0.8911801402606936,18.5923075,588.8,9.649999999999999,0.2925,19.635827499999998,612.875,7.475,0.33,18.903064999999998,602.475,5.925000000000001,0.156,1.079716,-257.6,8.825000000000001,0.644,-0.597394025,-230.2,6.7,0.76725,-0.401466975,-229.2,5.5,0.59875,18.2104375,537.375,7.225,0.23175,16.544465000000002,348.625,6.6,0.51775,18.17675,619.775,5.2,0.52425,0.5582453169431777,0.5586387518212674,0.5098704253444913,0.2822572215021807,0.5444972714776007,0.6787279962139172,0.5114467544738804,0.4038347477636663,0.33063065976957995,0.6548191339577296,0.8141569952842851,0.8801312643339556,0.03813622485584088,0.20317144476475144,0.571160731954899,0.8324424296612076,0.8104617732799776,0.466846141467867,0.4258858924230205,0.34996411170856173,0.2582356664156279,0.8840869778733849,0.8736751579688035,0.8499760065360658,0.010416666666666666,NO,0.1269,4.546944444444444
Wade,2018-05-20 07:15:00,140,spring,0.017787981651578744,2.550536693007592e-4,154.22233075950007,0.060950649664473056,8.8,6.166666666666667,0.12,0.02346666666666667,3.2,3.2,3.2,3.2,15,15.200000000000001,114.80000000000001,11.84,0.067371502,0.060595988,11.764826388888888,12.192534722222222,97.40277777777777,167.14930555555554,4.598888888888889,3.982092013888889,0.011542092952380952,0.006159875838541667,0.007301319999069941,0.12017648966766467,0.18245128744647995,0.0014524180418846386,0.12677083333333333,1.8599999999999999,-0.071000959,-0.074,0.033,-0.043,-0.0255004795,0.06999999999999998,0.014001918500000002,0.017501199000000002,0.03300095900000001,0.047001199,-0.17786984744270834,-0.09392712664583333,0.015489568354166667,-0.07389063746354167,-0.24337020884895832,-0.18213020708463543,-0.09834894626432292,0.014738300186197916,-0.07463931000651042,-0.2341330283828125,0.789823431216992,0.7895673930118813,18.972143411458333,590.7390625,10.315885416666667,0.2763463541666667,19.823973776041665,626.2028645833333,9.415885416666667,0.2952239583333333,18.961663802083333,619.4861979166667,8.351822916666666,0.12501302083333332,11.10830421875,-286.6354166666667,10.040104166666666,0.6487421875,0.051912500755208334,-324.5541666666667,8.739322916666667,0.7669921875,-0.4910004578125,-247.06666666666666,7.832291666666666,0.6026666666666667,19.1951775,576.3908854166667,9.008333333333333,0.15903645833333332,19.585818125,338.02161458333336,8.489583333333334,0.45680989583333337,18.96695609375,649.0981770833333,7.64375,0.38928385416666667,0.6521844183786158,0.6789005761488913,0.6673886442380993,0.3038791086537998,0.5606653341161861,0.7394003771118026,0.5706990930615033,0.5320504987714308,0.493173759908402,0.4937779010715169,0.527967890090163,0.43348605935315065,0.5093122534927992,0.4473716206717543,0.6635088524055643,0.8167002749179225,0.6136003276783564,0.48780102212073384,0.5168695289540082,0.480560007143283,0.4347927154980567,0.6342778456585404,0.6301094124246627,0.5050023172043913,14.739583333333334,NO,8e-4,0.9768055555555542
Wade,2018-06-14 07:30:00,165,summer,NA,NA,NA,NA,29,34.333333333333336,0.4,0.014043583535108959,0,0,0,0,3.8000000000000003,17.8,55.800000000000004,29,0.082316726,0.07870454,19.940416666666668,15.225633680555555,112.69444444444444,181.875,15.103993055555556,8.01154513888889,0.010493938666666668,0.001907395494791667,0.0012273467070312509,0.19784032859281436,0.2539180320282494,0.0012654141715793944,0.3664954954954955,3.479333333333333,-0.063,-0.0705004795,0.017499201,-0.086,-0.0345002395,0.049,0.005499520499999994,0.009499200999999999,0.0050000000000000044,0.019499760499999998,-0.3508333209010417,-0.1081719191875,-0.01008343084375,-0.22310939169270833,-0.3621354109166667,-0.4175755135559896,-0.1103151135703125,0.0020533377252604165,-0.26419261611067707,-0.4832226421236979,0.5567532694136846,0.457387772229076,18.548589557291667,589.2971354166666,12.020572916666667,0.22358854166666667,19.516457447916668,621.8442708333333,11.001041666666667,0.19453125,18.68758359375,617.2690104166667,10.064322916666667,0.09823958333333334,20.3680128125,-356.2135416666667,11.576041666666667,0.608703125,17.352005885416666,-377.73411458333334,10.631770833333333,0.6293072916666667,-0.5631472359375,478.3609375,9.90859375,0.5793046875,19.437614348958334,569.5765625,11.0265625,0.13889062500000002,19.538110416666665,276.20598958333335,10.624739583333334,0.43207291666666664,18.8665975,627.9223958333333,9.917447916666667,0.36384635416666666,0.5815090324508096,0.6377462418014737,0.6310397247089259,0.29604206926134063,0.5397845087942634,0.5368321910379927,0.6340333504047546,0.6132979968113421,0.5995115496332801,0.3233765717504304,0.27661389149878207,0.20596205450629687,0.801345314868813,0.6565782974725484,0.607570080657407,0.6451300605238048,0.4332248761919352,0.9000452870093036,0.6248276417758067,0.6137847143522621,0.5953834284868796,0.3823120406258983,0.3296115818596296,0.20849511479885457,24.194444444444443,NO,8e-4,8.050833333333333
