site,event_start,season,NO3_kg_km2,SRP_kg_km2,event_NO3_SRP,turb_kg_km2,cluster,DOY,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,rain_int_mmPERmin_mean,API_4d,q_event_max,q_event_delta,q_4d,q_mm,NO3_1d,SRP_1d,turb_1d,turb_event_max,DO_pre_wet_15cm,Redox_pre_wet_15cm,SoilTemp_pre_wet_15cm,VWC_pre_wet_15cm,VWC_pre_wet_30cm,time_sinceLastEvent,multipeak,PET_mmHR
Wade,2017-08-22T15:30:00Z,summer,0.14299611450198935,0.0011730805463831468,269.55573085786693,0.20218567328518564,3,234,13.600000000000001,12.083333333333334,0.32,0.018630136986301372,19.378707499999997,0.147527388,0.11375856300000001,0.06148018531614583,0.7333574780479042,0.1960893198943212,0.0011391279106271206,0.08964453124989484,1.8339999999999999,0.5879424219156488,0.4706536382177353,0.9334121014918451,0.3053298528848668,0.45277459735898046,1.2125,0,0.2777
Wade,2017-09-03T11:00:00Z,fall,0.2247637055399821,0.002183986049430815,227.57706328785963,0.893196052541497,3,246,23.6,41,0.12,0.009574036511156186,24.971800000000002,0.309166491,0.289783128,0.02049872549479167,1.153743709257485,0.2540262797753516,4.2726741377881183e-4,0.08761805555555555,3.1133333333333333,0.856946959870367,0.8243232349065678,0.6970694212766608,0.1723389710403141,0.16887246474164563,10.020833333333334,0,0.0066
Wade,2017-09-05T10:45:00Z,fall,0.6131285052024927,0.01838817411896044,73.73353664919402,20.164354964994253,3,248,18.8,17.75,0.2,0.017570093457943924,40.697500000000005,2.613908843,2.5613913729999997,0.06862770284375,4.487907235257485,0.16788046594288847,0.0018449316434545084,0.17491666666666666,11.450666666666667,0.5906540036499598,0.7222163535579859,0.7657482669991589,0.43388240916269294,0.5090422661940197,0.2604166666666667,0,0.0024
Wade,2017-09-08T17:30:00Z,fall,0.0620823878200405,0.0018185264162420367,75.49200565148608,0.34534540650758083,3,251,4.4,1.9166666666666667,0.36,0.03666666666666667,42.33758499999999,0.467345482,0.097699323,0.8167515133203125,0.7066356204610779,0.07827221583086248,0.002636799084993766,0.3153333333333329,1.314,0.4343577048166162,0.6081295208019438,0.7294657412004091,0.5580650732982664,0.6268172140924896,0.08333333333333333,0,0.3287
Wade,2017-10-08T11:15:00Z,fall,0.005777890325032279,5.614388848401114e-4,22.757207582259323,0.11123452127849102,3,281,11.8,3.9166666666666665,1.1199999999999999,0.049166666666666664,17.01284,0.086029239,0.060678148999999994,0.024522231606770833,0.24594000919760478,0.04184214556233061,0.0014818504590780525,0.0871875,3.036,0.6330102408684576,0.8393124211205195,0.7409648863512608,0.0873528442039527,0.08186976492839747,29.416666666666668,0,0.0081
Wade,2017-10-09T10:15:00Z,fall,0.11824413937683707,0.024590346890228248,10.63327717747712,13.35290230754921,3,282,29.400000000000002,24.25,0.16,0.020136986301369862,40.61,2.444759914,2.405875439,0.030950857705729168,3.6654430276347307,0.02274718056373668,0.0021731767233326787,0.3837638888888889,14.54,0.5263895040392595,0.820424434152661,0.8154705415623006,0.20870425321463898,0.18591648826720408,0.13541666666666666,0,8e-4
Wade,2017-10-24T16:15:00Z,fall,0.011225539604579088,0.03754798184926352,0.661108578460348,28.861866621475368,3,297,24.2,11.666666666666666,0.6799999999999999,0.03432624113475177,24.2,2.737527173,2.703758348,0.033163844622395834,3.8737347076886226,0.007087567693811667,0.0017036088186212612,0.13014583333333332,56.98733333333333,0.9813533140848953,0.9139365795077365,0.6001939864209505,0.3924041892047413,0.36181970841920463,14.145833333333334,0,0.0931
Wade,2017-10-26T04:00:00Z,fall,NA,NA,NA,NA,4,299,36.4,24.5,0.12,0.02467796610169492,59.769999999999996,3.448173297,3.287672619,0.220731199453125,20.00310804199401,0.004010354840701071,0.005810147718180647,0.5771666666666666,30.187333333333335,0.7284045935509943,0.6537247200150085,0.7057225994180407,0.8122453677062947,0.9846729257308601,0.3333333333333333,0,4e-4
Wade,2017-10-29T10:00:00Z,fall,0.7938027767485213,0.07367968358057636,23.824128727493658,25.302521316730743,4,302,23.200000000000003,31.083333333333332,0.2,0.012406417112299466,55.583053750000005,3.031342897,2.841675886,1.0894369709427083,16.63760611756886,0.06466793295793617,0.002582991415739905,0.24803333333333333,7.707333333333333,0.45782996488911265,0.6627114352229674,0.554746019954192,0.5751066029353283,0.7014839318424092,1.1875,0,8e-4
Wade,2017-11-01T19:15:00Z,fall,0.7106988872651469,0.04396885159506725,35.74313802815958,12.951197828613017,4,305,21,17.666666666666668,0.08,0.01971830985915493,40.762945,2.846549889,2.6488628619999997,0.94929287965625,12.144394963562874,0.08180049636316022,0.0018479418932397613,0.27975694444444443,2.461333333333333,0.47337373957556395,0.5829908541250566,0.503522937013307,0.5858669811797611,0.727651128685195,1.28125,0,0.0327
