site,event_start,event_end,FI_NO3,FI_SRP,FI_turb,HI_NO3_cv,HI_NO3_mean,HI_NO3_sd,HI_SRP_cv,HI_SRP_mean,HI_SRP_sd,HI_turb_cv,HI_turb_mean,HI_turb_sd
Hungerford,2017-08-05 09:15:00,2017-08-07 11:30:00,NA,NA,0.046828543247036475,NA,NA,NA,NA,NA,NA,-0.47203382489637596,-0.35724212750846274,0.16863036786193852
Hungerford,2017-08-12 12:15:00,2017-08-14 12:30:00,NA,NA,0.5252662511841486,NA,NA,NA,NA,NA,NA,-2.620043799993272,-0.08667254218101614,0.2270858567710267
Hungerford,2017-08-15 14:00:00,2017-08-17 00:45:00,-0.464701735733442,-0.20954031973369258,0.8105500932304252,0.47432345568774736,0.3004622909371891,0.14251631214118488,0.46813770322103293,0.5342012197240127,0.25007973205947365,-0.9497294949141679,-0.22824092277016297,0.2167671363012505
Hungerford,2017-08-17 19:30:00,2017-08-21 10:30:00,-0.03273371274606163,0.04958407375112406,0.5374684067585589,1.8602622286973503,0.09666716113999574,0.17982626862413437,-5.086751234323736,-0.08963271776555842,0.4559393377297454,-3.564185802076325,-0.06272882703391276,0.22357719469517343
Hungerford,2017-08-22 15:15:00,2017-08-24 21:45:00,-0.06911936870447627,0.036257962841437986,0.5154079109260621,0.506924906950826,0.20099698293129611,0.10189037686984406,-0.8247530769209734,-0.36527354571677384,0.3012604807477431,-0.7041688505168237,-0.19320464755507102,0.1360486945833624
Hungerford,2017-10-05 15:00:00,2017-10-06 07:45:00,0.01391335717105624,0.03209468005879024,0.660143637571538,1.1148326253974752,0.3603012290798601,0.40167556514903757,0.3106255098215273,0.6092213222335675,0.1892396838129469,-1.615962088252784,-0.2104409230880208,0.3400645535271616
Hungerford,2017-10-26 14:00:00,2017-10-29 04:15:00,0.02654196026957928,0.8802132081212394,0.5978868358256043,-0.4042674462084855,-0.520567913986638,0.21044866116545669,-0.607967812971522,-0.4476577787613053,0.27216152071320027,-0.4899004817021125,-0.26953145784333993,0.13204359103132485
Hungerford,2017-10-30 01:00:00,2017-10-31 23:00:00,0.0438606760303094,0.5881022677458986,0.14619945812896246,-0.7706215680945274,-0.3014234949908168,0.23228344637035614,-0.5313485923067418,-0.4731667650295434,0.25141649452478276,-0.5813852746394755,-0.3614319344561347,0.2101312044772568
Hungerford,2017-11-03 06:15:00,2017-11-05 04:45:00,-0.28983905608362204,0.8986652486923077,0.6930558051823092,-1.3324433893683536,-0.18906458636347334,0.25191785826367225,-0.7177898426695704,-0.25886202451938495,0.18580853185289578,-1.149811186900162,-0.21276743470721657,0.2446423766344074
Hungerford,2017-11-05 22:30:00,2017-11-08 07:45:00,-0.8737819704206079,0.921023342356295,0.5588721467044081,0.6591082310717111,0.3588163458828961,0.2364988070144909,-0.6941881841931066,-0.26223536728859653,0.1820406934492832,-0.8014259618080455,-0.30647745563134626,0.24561898965183426
Hungerford,2017-11-19 03:00:00,2017-11-21 00:00:00,-0.19216633916467862,0.6800356408801319,0.7126815132002569,0.5058454084499912,0.32849898816318,0.1661697048428126,-1.294577988621006,-0.2073757533090273,0.2684640856075665,-0.9960908624452558,-0.23852659704069953,0.2375941637624024
Hungerford,2017-11-28 08:00:00,2017-12-03 18:30:00,0.3432239274082125,0.5458116867460717,0.029326460236608426,0.47094504486508904,0.4600381892837655,0.21665270569189726,-0.8819559824891288,-0.12064532616005702,0.10640386716621447,0.8045550132530186,0.10124048442272932,0.081453539286471
Hungerford,2018-04-04 02:30:00,2018-04-05 08:45:00,-0.9659943075735946,0.8236693258448042,0.7916245648673,0.3571632703623554,0.2019063351340583,0.072113526963358,36.281866126274245,0.002172231118630126,0.07881259864146517,-5.372481310276516,-0.021443211580299684,0.115203253447465
Hungerford,2018-04-12 18:15:00,2018-04-13 21:15:00,-0.355193303519566,NA,0.8116774112690808,0.5392185892897995,0.5448304446929457,0.2937827037894643,NA,NA,NA,-1.6986728136241909,-0.08537718870877986,0.1450279093632666
Hungerford,2018-04-13 21:30:00,2018-04-15 15:30:00,0.04394778771116071,0.480797913320065,0.6656143749152622,-0.9247797600628606,-0.33118063926562274,0.30626915211752737,1.0222236900004373,0.32994168340721636,0.3372742050974808,-0.763307341161327,-0.1065703177458302,0.08134590588528744
Hungerford,2018-04-16 06:00:00,2018-04-18 13:30:00,0.16402079303607742,1,0.7281157762328693,-0.4255728322102271,-0.3929385461387094,0.16722396996481956,-2.2816124065580863,-0.0633614423849457,0.1445662530429075,11.990027939164142,0.008935228284233033,0.10713363677076373
Hungerford,2018-04-20 14:45:00,2018-04-21 12:15:00,-0.31840464059575296,NA,0.29373154363311016,-2.8290538251423256,-0.05845055473916978,0.16535976546653916,NA,NA,NA,-0.3852363134158475,-0.41953928958893194,0.1616217692543438
Hungerford,2018-04-25 14:00:00,2018-04-28 01:15:00,NA,NA,0.5190394900477877,NA,NA,NA,NA,NA,NA,2.654383690039592,0.05644726346510886,0.14983269548915268
Hungerford,2018-04-29 07:30:00,2018-05-01 14:45:00,-0.4023317765376864,0.7180080007202461,0.568794648136595,-0.3347505034319053,-0.3215655533335527,0.10764423086476596,0.5141521787912877,0.42465810128031783,0.21833888801464676,1.1590597806914724,0.09803194264904105,0.11362488194755652
Hungerford,2018-05-03 08:45:00,2018-05-04 18:45:00,-0.8605819275239699,0.7453980680673418,0.43198232991227853,1.154767524712872,0.06589101470918396,0.0760888039565438,-0.7643864187831081,-0.21852676976240132,0.16703889494692273,-0.9769946318834558,-0.17569058827114956,0.17164876161335957
Hungerford,2018-05-04 19:00:00,2018-05-06 03:15:00,0.012338323038244003,0.5453663584643981,0.5264838683460159,0.44019159376812267,0.4890746280562081,0.21528653999561403,-0.3872373367721168,-0.661423031982396,0.2561276933846017,-0.485056007500705,-0.40005519845916315,0.19404917734450386
Hungerford,2018-05-15 09:00:00,2018-05-17 05:45:00,NA,NA,-0.08241763890402698,NA,NA,NA,NA,NA,NA,0.8974232006505283,0.15929978813543552,0.1429593257314536
Hungerford,2018-05-20 06:30:00,2018-05-22 06:15:00,0.3148043359826652,NA,-0.15409397451310836,1.2659223885483233,0.1533707033936063,0.19415540717337054,NA,NA,NA,-6.475605384874977,-0.047342072026551135,0.30656857654627356
Hungerford,2018-05-26 07:30:00,2018-05-29 22:00:00,0.2901407284166806,0.2036094865322843,0.5141773222312827,-1.302166778556556,-0.19039257665309145,0.24792288820143826,-1.995977853064384,-0.14009846759768088,0.27963343857322925,3.983080698865856,0.05508957304541251,0.2194262151059433
Hungerford,2018-07-25 19:00:00,2018-07-28 00:30:00,0.012000128136659356,-0.004980485626585235,0.2605312670777012,-0.5638910550244455,-0.5547915653989326,0.31284200113146776,-0.6858132588905387,-0.4428786510852418,0.3037320509938155,-1.1330813815672958,-0.16744094888558728,0.18972422169422018
Hungerford,2018-08-08 19:15:00,2018-08-10 11:45:00,-0.006303744098405775,-0.027670699577570998,0.2535819465412484,-0.9680369779997001,-0.3958717972620947,0.3832185382969081,-1.1923389141505016,-0.3141210789205352,0.37453878615189495,-1.81290132103347,-0.15736759469233197,0.2852919203055883
Hungerford,2018-10-02 13:45:00,2018-10-04 13:45:00,0.1421103181650397,-0.12570908779772816,NA,-0.3595167610241533,-0.6819475671510756,0.245171580530456,-0.45278333036832924,-0.546970744042792,0.24765923510173835,NA,NA,NA
Hungerford,2018-10-11 10:00:00,2018-10-13 16:30:00,-0.003338115341927933,0.043794777238431185,0.27230310910098066,-0.4974586794986451,-0.43799763733140146,0.21788572629040542,-0.44636665603424336,-0.6235297570505646,0.2783228925925047,-0.5495343519464981,-0.27780857808834486,0.15266535692495672
Hungerford,2018-10-27 22:00:00,2018-10-30 05:00:00,0.3132527359432582,0.07390773744681696,0.06911145152986244,-0.5646190166729166,-0.1610906438525583,0.09095484092723849,-1.8533458716765212,-0.021927491827624736,0.04063922645494896,-3.929447750627141,-0.009446093161154466,0.03711792952431284
Hungerford,2018-11-01 18:45:00,2018-11-05 13:15:00,0.5797906212573656,0.7757704646222979,0.8201709678963562,8.601324065292284,0.030935562437831642,0.2660867976698733,0.8680345758058282,0.1312781087279912,0.11395393742229323,1.523378521853303,0.10917926689586621,0.16632135022085193
Hungerford,2018-11-06 16:00:00,2018-11-08 15:45:00,-0.991267531826995,0.8109866064729938,0.8437673607511691,0.3218486812821605,0.3166667385386165,0.10191877220457643,-0.4781339947966488,-0.4271553696489336,0.2042375032890838,-0.5338493135396911,-0.3338968216731964,0.17825058904332056
Hungerford,2018-11-09 22:45:00,2018-11-12 09:45:00,-0.4910435667122404,0.9939069732680467,0.874032764229975,-0.5308422674101618,-0.3038579550826102,0.1613006458466679,-0.8129894306295893,-0.2124516258080755,0.17272092630203786,-1.5846633948011863,-0.07336699432220686,0.11626199028898769
Hungerford,2018-11-13 10:15:00,2018-11-15 02:30:00,-0.5639347048202376,0.3294452540966974,0.26822119981024883,0.5695267840731714,0.14946340947422124,0.08512341493446479,-0.40085473680446887,-0.5185299028703754,0.20785516774035112,-0.3427367941750474,-0.5697904920044777,0.19528816658103765
Hungerford,2018-11-25 06:30:00,2018-11-29 09:30:00,0.4844373898745479,0.944888533457992,0.9496033273501236,-0.6517656041650732,-0.46206211474612946,0.30115619337930244,-1.0207732802699405,-0.051233611887876694,0.05229790206686492,0.7117659884110933,0.11914530638663495,0.08480357676482578
