site,event_start,season,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,rain_preEvent_1d,rain_preEvent_7d,q_event_delta,q_preEvent_mean_1d,time_sinceLastEvent,PET_mmDay,q_mm,NO3_kg_km2,SRP_kg_km2,event_NO3_SRP,Redox_mean_preEvent_6,VWC_mean_preEvent_6
Wade,2017-08-22 15:30:00,summer,-0.08868136730660456,-0.1313009621650782,0.14012155015426755,-0.9012069296513463,-0.343490855158486,-2.4054532496490335,-1.3743217297404628,-0.17756066756506286,1.0875053282171594,-1.6292642014004617,-1.2437563461841457,-2.127165752112877,0.95667163627145,-0.07075326981521234,-0.8657134055573747
Wade,2018-04-12 12:45:00,spring,0.525610076477987,0.508209268115017,-0.013868663742790287,-0.9012069296513463,-2.7344571972142573,0.2810830508883082,-3.17622150254637,1.0913162031450037,0.6020833545592245,-0.25125876863726104,0.35957869741119236,-0.6074619496722702,0.9466283984533864,1.9281931097333533,1.2157227384603653
Wade,2018-04-13 15:30:00,spring,-0.2987166432657584,-0.4496273674942748,-1.458571918080653,1.9735342306807837,-0.015382854613366422,0.7846244014604788,0.8874919013212441,-1.0630474091505768,-0.1780907186375093,0.3066966030755112,1.0019912186925117,-0.09546269044306557,1.0395697678491702,2.1654941553543106,1.4482264052775347
Wade,2018-04-16 13:45:00,spring,0.24144423054324293,1.2097112193622552,-0.990984053548014,0.40777914017302014,0.5558453228973733,-2.0332319931189686,-1.5460761999181474,-0.08762010172746319,0.14932301080666627,-1.5017681796060383,-0.6936489028723822,-1.7833223106168705,1.1309073513048697,2.0203756099869032,1.361535476680713
Wade,2018-10-02 03:00:00,fall,0.8120054513200684,0.9770542056065887,-0.6592251839631926,0.7254876175154638,-1.0705030734939076,0.9138472245758601,-0.7275642860079676,0.8808232358150219,-1.8602167392924005,0.8176912158012348,0.4976170193099763,1.0636277674919792,-0.595455993915755,0.5864044616268194,-0.03436661066500446
Wade,2018-10-15 18:30:00,fall,-1.9750581995945633,-1.0926834398151417,-1.458571918080653,-0.9012069296513463,-0.08417688853820306,-2.0393128688276256,-0.2206416425521065,0.46768416125460516,-1.381752180792071,-0.9692900971312093,-2.2303307687997167,-0.6639256234786909,-1.4370100413013966,0.30485224425840524,0.1046187520390183
Wade,2018-10-31 13:00:00,fall,-0.8015278088258077,0.11116079381942265,-0.990984053548014,-0.9012069296513463,-0.015382854613366422,0.5485391534046477,0.3946469751234342,-0.6647472040274834,-2.2139957058082538,0.35103196822627386,0.33337544108375816,0.4223269351891596,-0.10849571855222136,1.4599635032451774,0.6765440684007623
Wade,2018-11-05 16:30:00,fall,-0.6351243375850195,1.7437461665838239,-0.990984053548014,0.0010193263137074663,1.3323055570524711,0.8036294761926001,1.3374482553998779,-0.7615644813383914,-1.5877610566415126,1.4182581781432995,1.3342936255427285,1.3236505809439043,-0.06734980836946419,1.663560670745006,1.0274071399742781
Wade,2019-04-06 12:30:00,spring,-2.783632172506596,-0.31332342435703503,-1.458571918080653,-0.07455970817868032,-0.46341468907599226,-1.064234378507887,1.2403842717066975,-0.3899473556991373,-1.8405096794225677,0.22572619401991362,0.8214546266206475,-0.3815234708286058,1.1557140121431706,1.5605742204215152,1.938177749129663
Wade,2019-04-14 17:00:00,spring,0.170132522960713,1.6869811579711627,-0.19163731943055404,-0.9012069296513463,-0.02660209814568074,-0.10464334467210015,2.1829914112291298,-1.0514596892989567,0.17859668991247699,1.971955334747078,2.6750156100337477,1.1204348311649897,1.3991830540460537,1.480009117153902,0.6513310402036336
Wade,2019-04-18 14:30:00,spring,1.0006526734763492,1.9310441415722466,-0.013868663742790287,-0.9012069296513463,0.049998469675620175,0.9804418121542279,1.9795751899114626,-1.0211278600068392,-0.3971025948993765,2.3665331406299415,3.0461102891141705,1.4115998611352991,1.45746965616824,1.5382823338529417,1.4728048939649847
Wade,2019-05-19 17:00:00,spring,0.9690621886055465,1.6794009867019761,1.2530659349073088,0.30829417422812916,0.07109097018621535,0.8928333237371842,1.3013654108866313,-0.9989017114426688,0.5494262751898293,1.752016979822466,1.648166240264438,1.2945192106856056,0.25752154951384637,1.280873479204696,1.4236285710637426
Wade,2019-06-29 17:00:00,summer,-0.4855595582046648,-1.832871635919855,1.0752972792195448,0.0010193263137074663,-0.6850617172343832,-0.9965246129812819,-0.42380620498051697,3.072328726209798,1.0560607744524153,-1.3172219829695917,-0.8398316122658344,-1.3071144210902799,0.516671026480582,-0.40716564322833915,-0.8145648389463872
Wade,2019-06-30 09:30:00,summer,0.170132522960713,0.627699457915864,0.9394682842717277,1.2145470199018362,-0.1692549978467922,-0.23516550800070268,0.19906662313499335,-0.9416847876793969,0.35952916254225575,-0.10680970828029272,-0.06584109774469989,-0.13308136300385004,0.07113143936114735,-0.35768892009530096,0.0014283596511927643
Wade,2019-06-30 09:30:00,summer,0.170132522960713,0.627699457915864,0.9394682842717277,1.2344263616456863,-0.15675961369391078,-0.23516550800070268,0.19906662313499335,-0.9416847876793969,0.35952916254225575,-0.10680970828029272,-0.06584109774469989,-0.13308136300385004,0.07113143936114735,-0.35768892009530096,0.0014283596511927643
Wade,2019-07-06 11:45:00,summer,0.4214865090645556,-0.8015908681711276,1.4541326268094654,-0.9012069296513463,0.26530224068035674,0.8385446447889697,-0.6057612658263668,0.9357474709377268,0.665750965605056,-0.18549715074808623,0.1635324776753202,0.035167420947104476,0.11888603305246198,-0.4952722757340691,-1.2787264025498337
