site,event_start,season,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,rain_preEvent_7d,q_event_delta,q_preEvent_mean_1d,time_sinceLastEvent,PET_mmDay,q_mm,NO3_kg_km2,SRP_kg_km2,event_NO3_SRP,Redox_mean_preEvent_3,VWC_mean_preEvent_3
Hungerford,2017-11-03 06:15:00,fall,0.16582694457130479,-1.0012515840167229,1.4276646157450599,0.4325903744944221,1.1666716916364885,0.42109012159138043,-0.06872724533776377,-0.8193125294614957,0.589923314626641,0.6043240517679298,1.1508158693654449,-0.9206954195911403,0.213439009616527,0.47569406490884836
Hungerford,2017-11-05 22:30:00,fall,-0.03208544936865311,0.07867489036208956,0.22042721804110255,0.8486591188418626,0.6922213913961505,0.6105817815310601,-0.6452613646419855,-0.49320426786338367,0.6243374408366994,0.7083312980739859,0.9195818139845442,-0.6061366220704187,0.2856538256972376,0.5314229577611954
Hungerford,2017-11-19 03:00:00,fall,-0.09755515521161848,-0.1161638605333957,-0.7343418559535597,-2.11475626976718,0.3009412157952719,0.11298085061781636,1.0770604754045006,-1.8580147410376868,0.10193269666006832,0.13636192762230145,0.9053359811317974,-0.9191655337862477,-0.7323400333742818,-0.6155141218404747
Hungerford,2017-11-28 08:00:00,fall,-1.0105177061180652,1.2009669281302795,-0.3190442128845021,-0.22442164979690318,-0.7161018888428977,0.5574801622789375,-0.957686250651112,-0.30832850330455513,0.9703853612537274,0.9502243340753661,-0.18969959864126024,0.7551372246969501,-0.7982977641502161,0.7052470878907061
Hungerford,2018-04-04 02:30:00,spring,0.16028463151709546,0.07418028989831256,-0.3190442128845021,0.06748594526590838,0.7858065651154114,0.2826130170519018,0.2383974339489763,-0.2538725125419157,0.04180045623042539,-0.10568761485669216,-0.8312877140856071,0.8552054402825244,-0.8035702302421143,0.7654176016115007
Hungerford,2018-04-12 18:15:00,spring,-0.39270686899914486,-0.5201555778062171,-0.3190442128845021,-2.2170671043108214,0.02411367637353222,-0.19533701559387942,0.7707244026153373,0.6124466545377467,-0.7208513640414291,-0.7616381849082371,-2.245399240409431,2.0363397029696135,-0.7598564379805035,0.7206158216113681
Hungerford,2018-04-13 21:30:00,spring,-0.23455367945636038,0.08759604788193555,-1.4442978660517591,-0.4473123917741821,0.48777369465816267,0.5121670152631516,-1.1339759836171777,0.23751261672703486,0.12021192064701823,-0.03701108961798193,-0.20624930067676875,0.20598269598966049,-0.7984339906319586,0.7554238591866319
Hungerford,2018-04-13 21:30:00,spring,-0.23455367945636038,0.08759604788193555,-1.4442978660517591,-0.4473123917741821,0.48777369465816267,0.5121670152631516,-1.1339759836171777,0.23751261672703486,0.12021192064701823,-0.03701108961798193,-0.20624930067676875,0.20598269598966049,-0.7984339906319586,0.7554238591866319
Hungerford,2018-04-16 06:00:00,spring,0.11661996021245827,0.670445216436791,-0.3190442128845021,0.3070196761313787,1.162102134561367,0.5375668079326857,-0.7181626631841765,-0.0799158070622029,0.9509504654061848,0.8796419453774146,0.5537164197621173,-0.10455450219935128,-0.8706031044249777,0.7622266559597478
Hungerford,2018-04-20 14:45:00,spring,-3.100287104990502,-2.4695922742280616,-1.4442978660517591,0.5847156565739431,-1.944087676322049,0.5063396761949374,-0.13954872432642135,-0.023405467571114762,-0.9111922391452106,-0.46909430204667696,-2.3206038486077234,2.2873357363404305,-0.9912528957960043,0.7873000634137947
Hungerford,2018-04-29 07:30:00,spring,0.9666201251004523,0.9886616847382612,-0.7343418559535597,0.861482644072005,1.4217296553307746,0.624693783445603,-0.40966384283820606,-1.1026285047993174,1.2043099814689775,0.9326379802268022,0.8106002881846363,-0.35714147766244053,-0.9044262359759125,0.7512557233867327
Hungerford,2018-05-03 08:45:00,spring,-0.19350960962174849,-0.07787731102381745,0.3909117972136976,1.139357996439187,0.48751036280954785,0.5459752262939039,-0.23330385108605808,-0.24981429780475328,0.026884642894566924,-0.0022413018403350617,0.07846338276548967,-0.08774230168851602,-0.9821239151907281,0.7266147378504182
Hungerford,2018-05-04 19:00:00,spring,-1.3206472759522723,-1.2655390440353116,0.5488006333418,1.1346395216754268,-0.5258674133602818,1.039202986846459,-1.1339759836171777,0.5489076233268463,-0.22841256019533845,-0.07652771483608217,-0.10970716497461613,0.07689739408433871,-1.0271438889894808,0.7186616125642485
Hungerford,2018-05-20 06:30:00,spring,-0.39270686899914486,0.17619977995791,-0.024385845855359776,-0.5558341478706061,-1.7405912665875367,-0.9412891250185376,0.11075526602386128,0.6781664889334689,-1.3897793881821632,-1.253663647584522,-2.5096959656447893,2.0447729287385457,-1.1656609536736235,-0.9941758934857796
Hungerford,2018-05-26 07:30:00,spring,0.10164210416577747,0.98062535008196,1.39552617434104,-0.4473123917741821,-1.4698244831300398,-1.1741584110333658,0.31380735691972983,0.4343454178753927,-1.0000644696892453,-1.1091174559789758,-2.1551183631677744,1.737159234191316,-1.6977100760812867,-1.2933108991178517
