date,site,StationNumber,StationName,Latitude,Longitude,TotalPrecipAmt,NewSnowDepth,NewSnowSWE,TotalSnowDepth,TotalSnowSWE
2014-03-05,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,NA,0.3,NA,3,NA
2014-03-06,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,3,NA
2014-03-07,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,2.5,NA
2014-03-08,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,2.5,NA
2014-03-09,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,2.5,NA
2014-03-10,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.02,0.4,0.02,2.5,NA
2014-03-11,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.02,NA,NA,2.5,NA
2014-03-12,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,2.5,NA
2014-03-13,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,NA,NA,NA,NA,NA
2014-03-14,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-03-15,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-03-16,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,NA,NA,NA,NA,NA
2014-03-17,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-03-18,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-03-19,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-03-20,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,NA,NA,NA,NA,NA
2014-03-21,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.01,NA,0.01,NA,NA
2014-03-22,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-03-23,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,NA,NA,NA,NA,NA
2014-03-24,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,NA,NA,NA,NA,NA
2014-03-25,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-03-26,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-03-27,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-03-30,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.92,NA,NA,NA,NA
2014-03-31,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.33,NA,NA,NA,NA
2014-04-01,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-04-02,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-04-03,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-04-04,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-04-05,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.28,NA,NA,NA,NA
2014-04-06,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.02,NA,NA,NA,NA
2014-04-07,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-04-08,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.53,NA,NA,NA,NA
2014-04-09,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.21,NA,NA,NA,NA
2014-04-10,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-04-11,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.06,NA,NA,NA,NA
2014-04-12,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-04-13,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-04-14,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.34,NA,NA,0,0
2014-04-15,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.35,NA,NA,NA,NA
2014-04-16,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,1.61,3,NA,3,NA
2014-04-18,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0,0,NA,NA,NA
2014-04-19,Hungerford,VT-FR-12,St. Albans 1.9 NNE,44.83455,-73.06558,0.05,NA,NA,NA,NA
