site,event_start,season,NO3_kg_km2,SRP_kg_km2,event_NO3_SRP,turb_kg_km2,cluster,DOY,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,rain_int_mmPERmin_mean,API_4d,solarRad_4d,q_4d,q_mm,NO3_1d,SRP_1d,turb_event_max,DO_pre_wet_15cm,Redox_pre_wet_15cm,SoilTemp_pre_wet_15cm,VWC_pre_wet_15cm,time_sinceLastEvent,multipeak,PET_mmHR,diff_airT_soilT
Wade,2017-09-08 17:30:00,fall,0.0620823878200405,0.0018185264162420367,75.49200565148608,0.34534540650758083,1,251,4.4,1.9166666666666667,0.36,0.03666666666666667,42.33758499999999,45,0.8167515133203125,0.7066356204610779,0.07827221583086248,0.002636799084993766,1.314,0.4343577048166162,0.6081295208019438,0.7294657412004091,0.5580650732982664,0.08333333333333333,0,0.3287,-0.9542013888888885
Wade,2017-10-08 11:15:00,fall,0.005777890325032279,5.614388848401114e-4,22.757207582259323,0.11123452127849102,6,281,11.8,3.9166666666666665,1.1199999999999999,0.049166666666666664,17.01284,51.92274305555556,0.024522231606770833,0.24594000919760478,0.04184214556233061,0.0014818504590780525,3.036,0.6330102408684576,0.8393124211205195,0.7409648863512608,0.0873528442039527,29.416666666666668,0,0.0081,5.557417534722221
Wade,2017-10-09 10:15:00,fall,0.11824413937683707,0.024590346890228248,10.63327717747712,13.35290230754921,1,282,29.400000000000002,24.25,0.16,0.020136986301369862,40.61,45.35243055555556,0.030950857705729168,3.6654430276347307,0.02274718056373668,0.0021731767233326787,14.54,0.5263895040392595,0.820424434152661,0.8154705415623006,0.20870425321463898,0.13541666666666666,0,8e-4,2.951180555555556
Wade,2017-10-24 16:15:00,fall,0.011225539604579088,0.03754798184926352,0.661108578460348,28.861866621475368,6,297,24.2,11.666666666666666,0.6799999999999999,0.03432624113475177,24.2,65.0859375,0.033163844622395834,3.8737347076886226,0.007087567693811667,0.0017036088186212612,56.98733333333333,0.9813533140848953,0.9139365795077365,0.6001939864209505,0.3924041892047413,14.145833333333334,0,0.0931,6.648433159722224
Wade,2017-10-26 04:00:00,fall,1.287316136196607,0.1276769886547014,22.29588663035413,93.8007981255238,1,299,36.4,24.5,0.12,0.02467796610169492,59.769999999999996,45.71180555555556,0.220731199453125,20.00310804199401,0.004010354840701071,0.005810147718180647,30.187333333333335,0.7284045935509943,0.6537247200150085,0.7057225994180407,0.8122453677062947,0.3333333333333333,0,4e-4,-0.02812499999999929
Wade,2017-10-29 10:00:00,fall,0.7938027767485213,0.07367968358057636,23.824128727493658,25.302521316730743,1,302,23.200000000000003,31.083333333333332,0.2,0.012406417112299466,55.583053750000005,40.466145833333336,1.0894369709427083,16.63760611756886,0.0655269367042668,0.0025269375448463667,7.707333333333333,0.45782996488911265,0.6627114352229674,0.554746019954192,0.5751066029353283,1.1875,0,8e-4,2.3868245967741935
Wade,2017-11-01 19:15:00,fall,0.7106988872651469,0.04396885159506725,35.74313802815958,12.951197828613017,1,305,21,17.666666666666668,0.08,0.01971830985915493,40.762945,26.75173611111111,0.94929287965625,12.144394963562874,0.08180049636316022,0.0018479418932397613,2.461333333333333,0.47337373957556395,0.5829908541250566,0.503522937013307,0.5858669811797611,1.28125,0,0.0327,-5.166458333333333
Wade,2017-11-03 07:00:00,fall,1.4534729111206812,0.06730430591600563,47.75471500141892,93.54839842810283,1,307,20.6,6.166666666666667,0.24,0.054933333333333334,48.735865000000004,25.9765625,1.3371133195286458,18.327481686323353,0.05896431785854783,0.003653804198922191,62.535333333333334,0.24759286931297853,0.6003946906319353,0.5648959635133985,0.656028143516175,0.010416666666666666,0,0.015,2.951215277777777
Wade,2017-11-05 18:30:00,fall,1.3584159323036218,0.07482682761917094,40.144642876808454,19.983034392272444,1,309,20.400000000000002,20.833333333333332,0.2,0.016254980079681274,55.16655625,28.02170138888889,1.543542895578125,19.893065424682636,0.0990376465008845,0.0019319898806362612,3.3633333333333333,0.39638133003529585,0.5458824699877204,0.4615581161435838,0.6220720350166031,0.7083333333333334,1,0.0509,-3.9052083333333343
Wade,2017-11-16 06:00:00,fall,0.1558786511118401,3.1004223738282635e-4,1111.7776574221195,0.5144356837657366,1,320,6.4,17.583333333333332,0.12,0.0060377358490566035,9.3665175,33.65711805555556,0.068851248796875,1.1536437985868264,0.15081640762773915,2.2294992796053438e-4,1.2506666666666666,0.9982706827257538,0.5839867083860782,0.22275464007343215,0.294156436066019,8.260416666666666,0,0.0067,-4.596258680555555
