Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank
1,hford,24,hexagonal,4,6,L2norm,noPCA,2000,0.05,0.01,4,1.5,0.369551208284744,0.369551,19.581001,0.01,0
2,hford,28,hexagonal,4,7,L2norm,noPCA,2000,0.05,0.01,4,1.8,0.310666591207287,0.310667,15.968794,0.01,0
3,hford,32,hexagonal,4,8,L2norm,noPCA,2000,0.05,0.01,4,2.0,0.290708593464003,0.290709,15.906549,0.01,0
4,hford,36,hexagonal,4,9,L2norm,noPCA,2000,0.05,0.01,4,2.3,0.334086727770458,0.334087,19.40181,0.01,0
