Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51
19,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5,0.0901288591105322,0.090129,35.890438,0.01,0,3,3,3,3,3,3,3,1,3,1,1,2,2,2,2,2,5,5,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,1,2,2,2,5,5,5,5,4,3,1,2,2,1
20,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,5,1.6,0.0766874765044424,0.076687,24.601312,0.01,0,4,4,4,4,3,3,3,3,4,3,3,4,4,2,2,2,1,1,5,5,5,5,4,4,4,5,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,1,1,1,1,5,4,3,4,4,3
21,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,6,2.0,0.111394068429598,0.111394,38.077802,0.01,0,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,5,5,4,4,4,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,3,2,6,6,6,5,5,5,5,4,1,2,3,3,2
22,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,6,2.3,0.0892600934847942,0.08926,34.110817,0.01,0,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,3,3,3,2,2,2,2,2,2,2,5,1,1,1,1,1,1,1,1,1,1,4,6,6,6,3,3,3,3,3,1,3,1,1,4
23,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5,0.072041935590811,0.072042,28.754047,0.01,0,3,3,3,3,3,3,3,3,3,1,1,3,3,1,1,1,5,5,5,4,4,4,3,3,3,4,6,3,3,3,3,3,1,3,1,3,1,1,1,1,1,5,5,5,5,5,3,1,3,3,2
24,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,6,1.6,0.0875786191961092,0.087579,33.323864,0.01,0,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,6,6,5,5,5,5,1,1,1,5,4,1,1,1,1,1,1,1,1,1,1,3,2,2,2,6,6,6,6,5,1,3,1,1,3
25,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,4,2.0,0.119099463355422,0.119099,32.221929,0.01,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,1,3,2,2,2
26,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,4,2.3,0.0931018010227788,0.093102,33.707071,0.01,0,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,4,4,1,1,1,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,4,4,4,4,1,3,2,2,2,2
27,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5,0.09332979451028,0.09333,28.807684,0.01,0,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,3,3,3,2,2,2,1,1,4
28,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,4,1.6,0.0818596088959171,0.08186,26.415454,0.01,0,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,3,3,3,3,2,2,2,2,2,1,3,1,1,4
29,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,5,2.0,0.0909946134554891,0.090995,34.043279,0.01,0,2,2,2,2,2,2,2,2,2,1,1,4,4,4,4,4,5,5,5,5,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,4,1,4,4,4,5,5,5,5,5,2,4,4,4,1
30,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,5,2.3,0.0924496583172111,0.09245,30.291964,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,2,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,3,3,3,2,2,2,1,1,4
31,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5,0.0845989378132704,0.084599,32.368279,0.01,0,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,5,5,4,4,4,4,2,2,2,4,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,5,5,5,5,4,2,1,2,2,1
32,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,5,1.6,0.067765415409857,0.067765,32.211867,0.01,0,3,3,3,3,3,3,3,3,3,4,4,3,3,2,2,2,1,1,1,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,4,2,2,2,1,1,1,1,5,5,5,3,3,4
33,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,6,2.0,0.116863485748693,0.116863,36.28402,0.01,0,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,5,5,5,3,3,3,3,3,3,3,4,2,2,2,2,2,2,2,2,2,2,1,6,6,6,5,5,5,5,5,3,1,2,2,1
34,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,6,2.3,0.118987897491191,0.118988,33.354526,0.01,0,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,5,5,5,4,4,4,2,2,2,4,3,2,2,2,2,2,2,2,2,2,2,1,6,6,6,5,5,5,5,5,2,5,2,2,1
35,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5,0.0682622547616091,0.068262,28.644472,0.01,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,6,6,2,2,2,6,5,2,2,2,2,2,2,2,2,2,2,2,1,1,1,3,3,3,3,3,2,2,2,2,4
36,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,6,1.6,0.07620461737209,0.076205,35.380302,0.01,0,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,5,5,3,3,3,3,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,4,6,6,6,5,5,5,5,3,1,4,1,1,4
37,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,4,2.0,0.153575135293553,0.153575,26.971182,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,4,4,4,4,1,3,1,1,1
38,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,4,2.3,0.0921348922959234,0.092135,33.707071,0.01,0,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,3,3,4,4,4,4,2,2,2,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,3,3,3,3,4,2,1,1,1,1
39,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5,0.0897089053856122,0.089709,36.681874,0.01,0,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,4,4,2,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,4,4,4,4,2,3,2,3,3,1
40,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,4,1.6,0.0688432630701592,0.068843,26.657676,0.01,0,2,2,2,2,1,1,1,2,2,1,1,1,1,1,1,1,3,3,4,4,4,4,1,1,1,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,4,1,1,1,1,1
41,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,5,2.0,0.0914954646513848,0.091495,31.848012,0.01,0,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,3,3,2,2,2,2,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,4,4,4,4,3,3,3,3,3,1,1,1,1,4
42,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,5,2.3,0.0776473337839274,0.077647,32.112906,0.01,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,3,3,3,5,5,1,1,1,5,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,1,2,1,1,2
43,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5,0.0635158876168216,0.063516,26.477778,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,1,1,1,5
44,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,5,1.6,0.0735414462715124,0.073541,30.026584,0.01,0,2,2,2,2,2,2,2,2,2,2,4,4,4,2,2,2,5,5,1,1,1,1,2,2,2,1,3,2,2,2,2,2,2,2,2,2,4,4,4,4,4,5,5,5,5,1,2,4,4,4,4
45,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,6,2.0,0.0923140162564472,0.092314,35.380302,0.01,0,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,6,6,5,5,5,5,3,3,3,5,4,3,3,3,3,3,3,3,3,3,3,1,2,2,2,6,6,6,6,5,3,1,3,3,1
46,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,6,2.3,0.0700844002266899,0.070084,35.046898,0.01,0,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,5,5,5,5,6,6,2,2,2,6,1,2,2,2,2,2,2,2,2,2,2,4,3,3,3,5,5,5,5,5,2,4,2,2,4
47,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5,0.0972823756318048,0.097282,31.142002,0.01,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,5,5,1,1,1,5,4,1,1,1,1,1,1,1,1,1,1,2,3,3,3,6,6,6,6,6,1,6,1,1,2
48,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,6,1.6,0.0675220810962797,0.067522,31.243521,0.01,0,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,4,4,5,5,5,5,3,3,3,5,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,4,4,4,4,5,3,2,1,1,6
