Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,obs72,obs73,obs74,obs75,obs76,obs77,obs78,obs79,obs80,obs81,obs82,obs83,obs84,obs85,obs86,obs87,obs88,obs89,obs90,obs91,obs92,obs93,obs94,obs95,obs96,obs97,obs98,obs99,obs100,obs101,obs102,obs103,obs104,obs105,obs106
31,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0499440223482357,0.049944,73.593924,0.01,0,1,1,1,1,2,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,3,1,3,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,2,2,2,4
32,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,4,1.3,0.0447098546300277,0.04471,82.932556,0.01,0,2,2,2,2,2,2,2,3,2,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,3,2,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,2,2,1,1,1,4
33,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,4,1.5,0.044663814605769,0.044664,92.599792,0.01,0,4,4,4,4,4,2,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,2,2,2,4,4,4,4,4,4,4,4,2,4,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,3
34,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,4,1.7,0.0304831726721149,0.030483,73.230654,0.01,0,2,2,2,2,2,2,2,4,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,2,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,2,4,4,4,2,2,2,2,2,2,2,2,2,2,3,1,2,2,1,1,1,3
35,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,4,1.1,0.0375676512765989,0.037568,78.653166,0.01,0,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,3,3,3,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1,2,1,2,4
36,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0473989948477278,0.047399,99.8422,0.01,0,5,5,5,5,5,3,5,1,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,1,1,5,1,5,1,1,5,3,5,5,3,3,3,3,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,5,1,1,1,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,2,3,3,3,4,3,4,2
37,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,5,1.3,0.0472188771220466,0.047219,82.666527,0.01,0,4,4,4,5,5,5,5,4,5,4,2,2,2,2,2,5,5,5,5,5,5,5,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,5,5,5,5,5,5,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,3,2,2,5,1,2,1,3
38,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,5,1.5,0.0448378386982821,0.044838,105.191869,0.01,0,5,5,5,5,5,3,3,1,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,5,1,5,1,1,3,3,3,5,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,5,3,3,2,3,3,3,3,3,3,2
39,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7,0.0395107070441875,0.039511,103.180106,0.01,0,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,2,3,2,3,3,3,3,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,5,2,2,2,2,2,2,5
40,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,5,1.1,0.0468367304152238,0.046837,72.269971,0.01,0,3,3,3,3,3,2,3,3,3,3,2,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,4,4,2,4,5,5,5,5,5,5,4,5,4,4,4,4,5,5,4,4,4,4,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,4,2,4,4,4,1
41,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0491172821426499,0.049117,96.429966,0.01,0,2,2,2,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,6,6,6,6,1,1,5,1,1,1,1,2,4,2,4,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,2,2,4,2,4,2,2,2,2,2,4,5,5,5,5,4,5,5,3,5,5,5,1,5,1,3
42,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,6,1.3,0.0476059822028926,0.047606,94.001591,0.01,0,5,5,5,5,5,2,2,4,5,4,2,2,2,2,6,2,6,6,6,6,6,6,6,1,1,6,1,1,1,1,1,1,1,1,2,2,2,5,4,5,4,5,4,4,5,2,2,5,2,2,6,6,2,2,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,2,2,3,6,2,2,2,2,2,3
43,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,6,1.5,0.0406660548370479,0.040666,92.525162,0.01,0,3,3,3,3,3,3,3,1,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,6,4,4,4,4,3,5,3,1,3,1,1,6,6,6,3,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,3,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,6,6,6,4,6,4,2
44,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7,0.0367391308127272,0.036739,81.121355,0.01,0,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,3,3,3,5,2,5,5,1,2,1,2,1,1,1,1,2,2,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,5,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,4,2,4,6
