site,SOM,event_start,season,clust_wat_4cl,clust_wat_5cl,clust_wat_6cl,NO3_kg_km2,SRP_kg_km2,event_NO3_SRP,turb_kg_km2,turb_event_max,rain_event_total_mm,rain_int_mmPERmin_max,API_4d,q_event_max,solarRad_4d,q_4d,SoilTemp_pre_wet_15cm,VWC_pre_wet_30cm,time_sinceLastEvent,diff_airT_soilT,gw_1d_well1,gw_1d_well2,gw_1d_well3,gw_1d_well4a,gw_1d_well5,gw_1d_allWells,gw_4d_well1,gw_4d_well2,gw_4d_well3,gw_4d_well4a,gw_4d_well5,gw_4d_allWells
Wade,turb_kg_km2,2017-08-18 05:00:00,summer,1,1,5,0.0861494807634304,5.983505318128941e-4,318.38247041798155,0.07226336627369102,0.7106666666666668,6.8,0.12,13.487525,0.0865561892,115.95175438596492,0.059137092575520835,0.8395165980638045,0.42254789710709106,1.11875,1.2151562499999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,turb_kg_km2,2017-08-19 15:00:00,summer,1,1,5,0.12491372373121369,0.0010656841184252877,259.19930144507384,0.14502595085392814,2.332,5.6000000000000005,0.4,15.70363,0.1009285506,111.62362637362638,0.061010809189583334,0.8930553286834275,0.4548813067704757,0.014583333333333334,3.2239930555555567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,turb_kg_km2,2017-08-22 15:30:00,summer,1,1,5,0.14299611450198935,0.0011730805463831468,269.55573085786693,0.20218567328518564,1.8339999999999999,13.4,0.32,19.25724875,0.147527388,96.01822916666667,0.06148018531614583,0.9334121014918451,0.45277459735898046,1.2125,4.742673611111112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,turb_kg_km2,2017-09-03 11:00:00,fall,1,1,5,0.2247637055399821,0.002183986049430815,227.57706328785963,0.893196052541497,3.1133333333333333,24.6,0.12,25.937505,0.309166491,84,0.02049872549479167,0.6970694212766608,0.16887246474164563,10.020833333333334,-0.5234201388888895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,turb_kg_km2,2017-09-05 10:45:00,fall,1,2,5,0.6131285052024927,0.01838817411896044,73.73353664919402,20.164354964994253,11.450666666666667,20.6,0.2,42.840925,2.613908843,74.52690972222223,0.06862770284375,0.7657482669991589,0.5090422661940197,0.2604166666666667,5.011215277777779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,turb_kg_km2,2017-09-07 01:00:00,fall,2,2,3,NA,NA,NA,NA,NA,19.8,0.16,60.1841675,2.664002623,40.75086805555556,0.31847798468489585,0.7557434921089821,0.6253334247206146,0.59375,-0.5100868055555559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,turb_kg_km2,2017-09-08 17:30:00,fall,1,2,5,0.0620823878200405,0.0018185264162420367,75.49200565148608,0.34534540650758083,1.314,4,0.36,41.887995,0.467345482,40.78038194444444,0.8167515133203125,0.7294657412004091,0.6268172140924896,0.08333333333333333,-1.1271874999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,turb_kg_km2,2017-10-08 11:15:00,fall,3,1,1,0.005777890325032279,5.614388848401114e-4,22.757207582259323,0.11123452127849102,3.036,12,1.1199999999999999,17.21284,0.086029239,50.25347222222222,0.024522231606770833,0.7409648863512608,0.08186976492839747,29.416666666666668,6.470855034722222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,turb_kg_km2,2017-10-09 10:15:00,fall,1,2,5,0.11824413937683707,0.024590346890228248,10.63327717747712,13.35290230754921,14.54,29.400000000000002,0.16,40.61,2.444759914,44.763888888888886,0.030950857705729168,0.8154705415623006,0.18591648826720408,0.13541666666666666,2.0000694444444456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wade,turb_kg_km2,2017-10-24 16:15:00,fall,1,1,1,0.011225539604579088,0.03754798184926352,0.661108578460348,28.861866621475368,56.98733333333333,24,0.6799999999999999,24.19,2.737527173,55.34288194444444,0.033163844622395834,0.6001939864209505,0.36181970841920463,14.145833333333334,6.486662326388888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
