Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,obs72,obs73,obs74,obs75,obs76,obs77,obs78,obs79,obs80,obs81,obs82,obs83,obs84,obs85,obs86,obs87,obs88,obs89,obs90,obs91,obs92,obs93,obs94,obs95,obs96,obs97,obs98,obs99,obs100,obs101,obs102,obs103,obs104,obs105,obs106,obs107
11,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0654869877037068,0.065487,42.833494,0.01,0,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,1,4,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,4,1,1,1,4,1,1,1,1,4,1,5,5,4,5,4,5,5,4,4,1,5,1,5,1,1,1,4,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,6,1,1,4,1,1,1,6
12,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,6,1.3,0.0611938139141528,0.061194,65.574081,0.01,0,2,2,2,3,3,3,1,2,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,4,4,4,1,1,4,4,1,2,2,2,2,2,2,2,3,3,1,2,1,1,3,1,3,3,3,1,1,1,1,4,1,5,5,4,5,4,5,5,4,4,4,5,1,5,4,1,1,3,2,2,2,2,2,2,2,2,2,3,2,2,2,3,1,1,1,2,1,1,6,1,1,3,1,1,1,6
13,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,6,1.5,0.0488791070378649,0.048879,51.592275,0.01,0,3,1,1,3,3,3,6,1,3,1,3,3,4,6,4,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,3,6,6,4,6,6,6,6,1,1,1,1,1,1,1,3,3,6,1,6,6,3,6,3,3,4,4,6,6,6,4,6,5,5,4,5,4,5,4,4,4,6,5,6,4,6,6,6,3,1,1,1,1,1,1,1,1,1,3,1,1,1,3,6,6,6,3,6,6,2,4,6,3,6,4,6,2
14,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7,0.0435633893719651,0.043563,60.334818,0.01,0,3,3,3,3,3,3,3,4,3,4,3,3,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,5,1,1,1,1,1,1,1,3,3,3,4,4,4,4,3,3,3,3,2,2,5,2,2,2,5,2,1,1,1,5,1,1,1,5,1,5,1,1,5,5,1,1,1,1,1,1,1,5,4,4,4,4,4,4,3,4,4,3,4,4,3,3,3,3,3,4,3,3,6,2,3,5,1,2,1,6
15,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,6,1.1,0.0466386528400506,0.046639,49.544227,0.01,0,6,6,6,6,6,6,1,6,6,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,1,1,4,1,4,4,4,1,1,1,1,3,1,1,1,3,1,3,2,3,3,3,1,1,1,3,1,1,1,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,1,1,4,1,1,1,5
16,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0578770991749537,0.057877,58.869092,0.01,0,3,3,3,3,3,1,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,4,4,4,4,4,4,4,1,4,1,4,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,1,1,2,1,1,3,1,1,1,2
17,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,4,1.3,0.0672045456083891,0.067205,37.161347,0.01,0,1,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,3,2,2,2,3,2,3,2,2,3,3,3,2,2,2,3,2,2,3,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,2,2,4,2,2,2,2,2,2,4
18,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,4,1.5,0.0515650623264902,0.051565,53.944099,0.01,0,1,1,1,1,1,1,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,3,4,4,3,3,4,4,4,4,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,3,3,2,3,3,1,3,3,3,2
19,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,4,1.7,0.0443171190806161,0.044317,55.431604,0.01,0,1,1,1,1,1,3,3,1,1,1,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,4,1,4,4,3,4,3,3,3,4,4,4,4,3,4,4,4,3,4,3,4,3,3,3,4,4,4,3,4,4,4,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,3,3,3,4,4,4,2
20,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,4,1.1,0.0485026476843164,0.048503,47.757205,0.01,0,1,1,1,3,3,3,4,1,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,1,1,1,1,1,1,1,3,3,4,1,4,4,3,4,3,3,3,4,4,4,4,3,4,4,4,3,4,3,4,4,3,3,4,4,4,4,4,4,4,3,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,1,4,3,4,4,2,4,4,3,4,4,4,2
