Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,obs72,obs73,obs74,obs75,obs76,obs77,obs78,obs79,obs80,obs81,obs82,obs83,obs84,obs85,obs86,obs87,obs88,obs89,obs90,obs91,obs92,obs93,obs94,obs95,obs96,obs97,obs98,obs99,obs100,obs101,obs102,obs103,obs104,obs105,obs106,obs107
41,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0606228397226908,0.060623,58.094119,0.01,0,3,5,5,3,3,3,6,5,3,5,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,2,6,6,6,6,6,6,6,5,5,5,5,5,5,5,3,3,3,6,6,6,3,6,3,3,3,6,6,6,6,2,6,1,1,2,1,2,1,2,2,2,6,1,6,2,6,6,6,3,5,5,5,5,5,5,5,5,5,3,5,5,5,3,6,6,6,3,6,6,4,6,6,3,6,6,6,4
42,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,6,1.3,0.06278675970548,0.062787,60.597531,0.01,0,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,3,3,1,1,3,3,3,5,5,5,5,5,5,5,5,5,5,5,1,1,4,1,4,4,4,4,1,1,1,3,1,2,1,3,2,3,2,2,3,3,3,2,3,2,3,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,4,5,4,5,6
43,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,6,1.5,0.0558963764904302,0.055896,66.412967,0.01,0,1,1,1,1,1,4,2,1,1,1,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,5,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,4,2,1,2,2,4,2,4,4,4,2,2,2,2,5,2,3,3,5,3,5,3,3,5,5,2,3,2,3,2,2,2,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,6,2,2,4,2,2,2,6
44,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7,0.0427454293767569,0.042745,52.271882,0.01,0,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,5,1,1,1,4,1,1,1,1,1,1,1,3,3,3,3,3,3,6,2,2,2,2,2,2,5,2,2,2,5,2,1,1,1,5,1,1,1,5,1,5,1,1,5,5,1,1,1,1,1,1,1,5,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,2,3,2,2,6,2,2,2,1,2,1,6
45,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,6,1.1,0.0470107739814185,0.047011,55.964141,0.01,0,3,3,3,2,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,5,1,1,1,1,1,1,1,3,5,5,3,3,3,3,2,2,3,3,2,2,2,2,2,2,2,2,1,1,1,4,1,4,4,4,4,4,4,4,4,4,1,4,1,4,1,1,1,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,6,2,2,2,1,2,1,6
46,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0604267740918061,0.060427,34.179649,0.01,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,2,1,2,1,1,2,2,2,1,2,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,2,3,2,4
47,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,4,1.3,0.0611973059951924,0.061197,43.921626,0.01,0,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,1,2,1,1,1,4
48,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,4,1.5,0.0477433395546962,0.047743,61.028513,0.01,0,2,2,2,2,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,4,4,3,3,3,4,3,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,3,3,3,1
49,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,4,1.7,0.0486583492626846,0.048658,47.719299,0.01,0,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,2,2,1,2,1,4
50,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,4,1.1,0.0507979622806175,0.050798,57.155843,0.01,0,4,4,4,4,4,4,1,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,1,1,2,1,2,2,2,1,1,1,1,2,1,1,1,2,1,2,1,1,2,2,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,1,4,1,1,1,3
51,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0644340048591472,0.064434,45.104709,0.01,0,3,3,3,2,2,2,2,3,2,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,1,1,1,1,1,1,1,3,3,3,3,3,3,3,2,2,2,2,1,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,2,2,3,2,2,5,2,2,2,1,2,1,5
52,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,5,1.3,0.0580197345569723,0.05802,48.74765,0.01,0,2,4,4,2,2,2,5,4,2,4,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,1,5,1,5,5,1,1,5,4,4,4,4,4,4,4,2,2,5,4,5,5,2,5,2,2,2,5,5,5,5,1,5,5,5,1,5,1,5,1,1,1,1,5,5,5,1,5,5,2,4,4,4,4,4,4,4,4,4,2,4,4,4,2,5,5,5,2,5,5,3,5,5,2,5,5,5,3
53,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,5,1.5,0.0524702291944026,0.05247,59.848769,0.01,0,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,3,3,4,3,4,3,3,4,4,1,3,1,3,1,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,1,1,2,1,2,1,5
54,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,5,1.7,0.0422976338842867,0.042298,61.180413,0.01,0,3,3,3,3,3,1,2,3,3,3,1,1,1,2,1,2,2,2,2,2,2,2,2,5,5,5,1,5,5,5,1,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,1,2,3,2,2,1,1,1,1,1,1,5,5,5,1,2,5,5,1,5,1,5,1,1,1,5,5,5,1,5,5,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,2,1,5,1,5,4
55,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,5,1.1,0.0460700821205773,0.04607,46.000387,0.01,0,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,4,2,4,4,2,2,2,4,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,2,3,2,2,2,2,2,2,3
56,wade,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0692207157909587,0.069221,57.601481,0.01,0,1,1,1,2,2,2,3,1,2,1,2,2,2,2,2,3,3,2,3,3,3,3,3,4,4,4,2,4,4,4,4,5,5,5,5,5,5,5,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,5,2,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,2,2,6,3,2,2,5,2,5,6
57,wade,48,hexagonal,6, 8,L2norm,noPCA,1500,0.05,0.01,6,1.3,0.0603195615022201,0.06032,64.238236,0.01,0,3,3,3,3,2,2,2,3,3,3,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,1,2,1,1,5,1,5,5,5,1,1,1,1,5,1,4,4,5,4,5,4,4,5,1,1,4,1,4,1,1,1,5,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,2,3,1,1,6,2,1,5,1,1,1,6
58,wade,54,hexagonal,6, 9,L2norm,noPCA,1500,0.05,0.01,6,1.5,0.0548444157033167,0.054844,68.013794,0.01,0,4,4,4,4,4,5,3,4,4,4,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,1,1,1,3,3,1,1,1,4,4,4,4,4,4,4,4,5,3,4,3,3,5,3,5,5,5,3,3,3,3,1,3,2,2,1,2,1,2,2,1,1,1,2,1,2,1,3,3,1,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3,3,3,4,3,3,6,3,3,5,3,3,3,6
59,wade,60,hexagonal,6,10,L2norm,noPCA,1500,0.05,0.01,6,1.7,0.045596490322769,0.045596,61.386217,0.01,0,5,5,5,3,3,3,6,5,5,5,3,3,3,6,3,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,2,6,6,6,6,6,6,6,5,5,5,5,5,5,5,3,3,6,6,6,6,3,6,3,3,3,3,6,6,6,2,6,1,1,2,1,2,1,2,2,2,6,1,6,2,6,6,6,3,5,5,5,5,5,5,5,5,5,3,5,5,5,3,6,6,6,5,6,6,4,6,6,3,6,3,6,4
60,wade,56,hexagonal,7, 8,L2norm,noPCA,1500,0.05,0.01,6,1.1,0.046861811889317,0.046862,64.113549,0.01,0,1,1,1,2,2,2,2,1,2,1,2,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,5,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,2,3,1,3,3,2,3,2,2,2,3,3,3,3,5,3,4,4,5,4,5,4,5,5,5,3,4,3,5,3,3,3,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,2,2,6,2,2,2,3,3,3,6
