site,event_start,season,clust_wat_4cl,clust_wat_5cl,clust_wat_6cl,q_event_max,q_event_delta,q_event_dQRate_cmsPerHr,q_mm,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,API_4d,solarRad_4d,q_4d,VWC_pre_dry_15cm,SoilTemp_pre_wet_15cm,VWC_pre_wet_15cm,time_sinceLastEvent,PET_mmHR,gw_1d_well1,gw_1d_well3,gw_1d_well5,gw_1d_well7,gw_1d_allWells,gw_4d_well1,gw_4d_well3,gw_4d_well5,gw_4d_well7,gw_4d_allWells
Hungerford,2017-11-19T07:00:00Z,fall,2,2,3,2.952095204,1.847122873,0.10865428664705883,7.3342295920479454,11.200000000000001,13.166666666666666,0.08,12.237875,55.21006944444444,1.1001324838203126,0.7292630019575682,0.18209379092059128,0.7068565156922536,10.802083333333334,5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2017-11-22T13:45:00Z,fall,2,2,3,1.658639161,0.213943687,0.014262912466666666,3.4163299774726026,3.2,3.4166666666666665,0.04,12.580133749999998,38.357638888888886,1.63740493496875,0.7622982910957092,0.13335127973558125,0.8796199624337433,1.40625,0.0074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2017-11-26T02:15:00Z,fall,2,2,3,2.805947578,1.4362787000000001,0.09905370344827587,8.578442011767123,8.4,16.083333333333332,0.08,11.014993749999999,31.157118055555557,1.4457830512578125,0.7643299296333526,0.14076515149200713,0.89521226859572,2.4270833333333335,0.0099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2017-11-28T12:00:00Z,fall,2,2,3,1.862932544,0.608628041,0.01803342343703704,16.917420791260273,4.6000000000000005,58.5,0.12,11.80195,28.026041666666668,1.6997662001848959,0.7856621342786095,0.11800413275124262,0.9121201041361707,0.22916666666666666,3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,2018-04-04T06:30:00Z,spring,2,2,3,4.378217745,3.1358345389999998,0.20905563593333332,6.921839876486302,14.4,16.333333333333332,0.12,14.914425,179.00086805555554,1.8612199922890624,0.9065869530712658,0.10315362008551358,0.9907257879516089,3.6458333333333335,0.0025,-0.16428013468013467,-0.08661019202441078,-0.2588753682659933,-0.9384486005892256,0.7609830277709989,-0.15539921085858585,-0.08090021425189393,-0.25084655145202023,-0.8590520701809764,0.7326710785304252
Hungerford,2018-04-12T22:15:00Z,spring,2,2,3,2.102315436,1.365405765,0.11620474595744681,3.3224814268561644,10.8,28.166666666666668,0.12,10.8,186.06423611111111,0.804747474,0.8746415533569651,0.07281348554866622,0.9599621288883937,7.395833333333333,0.1696,-0.2005219476010101,-0.10699716372053872,-0.31635995370370373,-1.0303315446127945,0.8449945141672792,-0.19512670059974746,-0.09689639551767677,-0.32270573653198653,-1.007051970223064,0.8346978426868629
Hungerford,2018-04-14T01:30:00Z,spring,2,2,3,3.750368678,2.264990552,0.24486384345945947,7.464393229130137,11,42.75,0.08,19.1985,148.56597222222223,0.9715506062968751,0.8984180731178244,0.23593633058638633,0.9589457025186221,0.010416666666666666,0.0249,-0.1857274537037037,-0.12337192845117845,-0.24113756313131313,-0.9165051704545455,0.9023295445627311,-0.1934548016624579,-0.10652147514204545,-0.3063849610690236,-0.9930344549663299,0.8442195699507867
Hungerford,2018-04-16T10:00:00Z,spring,2,2,3,6.473370514,4.728696442,0.24249725343589745,16.603938510945206,14,47.25,0.12,30.9631525,87.27777777777777,1.7131403339140625,0.9284693931538013,0.09513899538688286,0.9590961575024161,0.6041666666666666,0.0046,-0.1795385101010101,-0.08550556165824916,-0.24179482323232324,-0.9357538930976431,0.901028791239958,-0.18542341593013467,-0.09930408664772727,-0.24988767518939395,-0.9181133914667509,0.8864791465218325
Hungerford,2018-04-20T18:45:00Z,spring,2,2,3,1.644675176,0.15929704999999994,0.016338158974358967,2.766351947630137,0.6000000000000001,0.9166666666666666,0.04,12.69357125,79.84201388888889,2.829673079697917,0.9267763610390983,0.13684786826435733,0.9600473101257548,2.0520833333333335,0.0911,-0.18425132470538721,-0.09572536100589225,-0.2475533291245791,-0.906763818392256,0.9038546648929432,-0.16252919533880472,-0.07784144591750841,-0.23075554608585858,-0.7922757165404041,0.9344055209915382
Hungerford,2018-04-25T18:00:00Z,spring,2,2,5,6.455614798,5.627174183,0.24202899711827958,16.41577158910274,34.2,66.5,0.12,34.2,237.44444444444446,1.0178471373463542,0.8553621501507854,0.2697080759755408,0.9418070925779094,4.072916666666667,0.1573,-0.23043638047138046,-0.13265027041245792,-0.37646454124579126,-1.0126561447811446,0.8214006854806254,-0.21290667902988217,-0.11215610008943602,-0.3222785135206229,-0.9850047119633838,0.836099443455255
Hungerford,2018-04-29T11:30:00Z,spring,2,4,5,7.963940085,6.278003806,0.29895256219047617,21.188762959931505,29.6,56.25,0.08,60.124663749999996,103.80729166666667,2.7050226680520835,0.9119623300354477,0.4030938799112563,0.9399345308628385,1.2604166666666667,7e-4,-0.17278002735690237,-0.09964682859848485,-0.2405163667929293,-0.8945857533670034,0.9136217039596962,-0.16960059632786195,-0.08937835277251684,-0.23133694812710437,-0.8007807504734848,0.9325895745791046
Hungerford,2018-05-03T12:45:00Z,spring,2,2,3,3.711320817,2.264339583,0.1275684272112676,6.823187644541096,10.200000000000001,33.25,0.24,33.9946025,127.62239583333333,3.4778426148854167,0.9070525369028093,0.46969235240555784,0.9338050853833063,1.75,8e-4,-0.19539227062289563,-0.11000322211700336,-0.2597666245791246,-0.9136052451599327,0.8887851887251305,-0.1693687105429293,-0.09686905463489057,-0.2210110516624579,-0.7357405521359428,0.9462035904936827
Hungerford,2018-05-04T23:00:00Z,spring,2,2,3,2.898773285,0.7490922969999998,0.12484871616666664,5.33682485860274,3.2,3.3333333333333335,0.27999999999999997,14.21190125,134.68663194444446,2.365133650708333,0.9360033860642293,0.5621226787675738,0.9328511218666876,0.010416666666666666,0.1176,-0.17252693181818182,-0.08476140677609427,-0.20629040404040405,-0.8051656618265993,0.9470937102618312,-0.17961782880892255,-0.09810866203703704,-0.229248992003367,-0.8345871477798822,0.9125718574844188
Hungerford,2018-05-15T13:00:00Z,spring,2,2,2,0.742126684,0.30453982700000004,0.019033739187500003,2.040090187181507,8.4,5.833333333333333,0.12,8.4,279.44444444444446,0.5091941543489583,0.7680969260885666,0.5637592015528586,0.6667037675165228,9.239583333333334,0.0241,-0.46521875210437713,-0.3663752925084175,-0.6108028198653198,-1.0880217803030303,0.5276869130935865,-0.41776643676346803,-0.31508166114267677,-0.5658232060185185,-1.075398726851852,0.5709211581278891
Hungerford,2018-05-20T10:30:00Z,spring,2,2,2,0.562786674,0.19891984700000004,0.012833538516129036,1.7453257647123288,7.6000000000000005,14.083333333333334,0.16,8.360000000000001,239.53645833333334,0.413157885546875,0.7343491526021549,0.5938158683532997,0.5627804074739715,3.03125,0.0124,-0.4788940446127946,-0.37744507575757574,-0.6438077651515152,-1.0975520833333334,0.5002538406664561,-0.4482428101325758,-0.344934601746633,-0.5826409669612794,-1.0948394097222223,0.5329929154207528
Hungerford,2018-05-26T11:30:00Z,spring,2,2,2,0.540681238,0.26732463500000003,0.01645074676923077,2.53958220010274,13.6,45.583333333333336,0.64,14.414506249999999,194.76736111111111,0.31971913680208336,0.7127136130363472,0.6498928389856434,0.5322193874899002,4.052083333333333,0.0067,-0.5873679008838384,-0.505682095959596,-0.7704740793350169,-1.1256522516835017,0.3960777659657898,-0.5339259098800505,-0.44525212489478116,-0.7115557946654041,-1.1292072916666667,0.4213628244182014
Hungerford,2018-07-01T01:30:00Z,summer,4,5,6,0.51907487,0.399792088,0.025383624634920634,1.3722804947671232,11.6,44.583333333333336,0.44000000000000006,19.7450625,108.11371527777777,0.12425034347395833,0.27427120258187393,0.7809277525225693,0.2420721335843036,31.979166666666668,0.0543,-1.0230739688552188,-0.8475829787457912,-0.9965602904040404,-1.2019465488215488,0.19820529321880132,-1.0030423153409092,-0.8314650013152357,-0.98611093381734,-1.1961641966540404,0.19043492960595138
Hungerford,2018-07-25T23:00:00Z,summer,4,3,1,0.3997671,0.32487033099999996,0.019395243641791043,0.9859835761438356,48.8,49.833333333333336,0.76,50.12893125,143.77604166666666,0.07460354638671875,0.02239034971694615,0.9148121759455774,0.06394360473690575,22.479166666666668,0.1715,-1.3625576599326599,-1.0777658880471381,-1.140342276936027,-1.3527171717171718,0.030713782057629053,-1.358751630892256,-1.0662020728114479,-1.1393377788299663,-1.3138636100589225,0.02742480904056072
Hungerford,2018-08-08T23:15:00Z,summer,4,3,1,0.680889898,0.603100299,0.05610235339534883,0.977851422739726,42,9.083333333333334,1,45.025275,190.03125,0.08352034514583333,0.12187714935717682,0.9799910545148389,0.278117530353115,11.78125,0.2717,-1.088099957912458,-0.9138963026094277,-1.089676872895623,-1.2365866477272727,0.14749985283558398,-1.057719696969697,-0.890911861584596,-1.0482903777356902,-1.2245368239688552,0.15072440756753494
Hungerford,2018-10-02T17:45:00Z,fall,4,5,6,0.350038974,0.221244265,0.0100565575,1.0226933836232877,28.8,57.166666666666664,0.16,36.3998575,93.60329861111111,0.10789196366666667,0,0.6648758775890327,0.3584169793481658,53.083333333333336,0.0307,-0.8670854945286196,-0.6777200599747475,-0.8372552662037037,-1.1697489478114478,0.3087181993108154,-0.8772308643728957,-0.709219832438973,-0.8728756904987374,-1.1785324074074075,0.2690577702116808
Hungerford,2018-10-11T14:00:00Z,fall,1,5,6,0.527657697,0.39691102199999995,0.01804141009090909,1.382928395260274,20.2,46.333333333333336,0.4,21.445901250000002,75.21180555555556,0.13621833717708334,0.2548224961642241,0.6429016180070213,0.390731502658075,6.84375,8e-4,-0.6682122264309764,-0.5150676483585859,-0.7771451346801347,-1.1723993055555555,0.375641045447039,-0.6418505366161616,-0.4840234269781145,-0.7356524663299663,-1.1650517939814815,0.37850916475325724
Hungerford,2018-10-28T02:00:00Z,fall,1,5,6,0.313564268,0.16237950899999998,0.0031077417990430616,1.2305737858767123,17.400000000000002,53,0.16,25.760475000000003,56.94097222222222,0.15011651275260418,0.4893180255012963,0.3262561564724514,0.4194689925332341,14.229166666666666,0.0015,-0.6157969276094276,-0.4602907733585858,-0.6967483038720539,-1.1506342592592593,0.419795897187938,-0.6305065761784512,-0.4700006084280303,-0.7119611710858585,-1.1400501893939394,0.3956067892024078
Hungerford,2018-11-01T22:45:00Z,fall,1,4,5,6.037718507,5.611680483,0.1105749848866995,15.639265607424658,49.800000000000004,95.75,0.12,60.96418625,28,0.3254987524609375,0.6126624693578822,0.32090568747878784,0.6408016949765233,2.5729166666666665,0.0612,-0.4348603745791246,-0.2870871212121212,-0.47728031776094276,-1.0396715067340068,0.6385694979337159,-0.46030776515151517,-0.31056761100589225,-0.49601206465698655,-1.0646415982744108,0.5893547206745867
