Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank
49,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,4,1.6,0.0413027572133937,0.041303,45.047076,0.01,0
50,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0389200702849199,0.03892,50.4765,0.01,0
51,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,5,2,0.0496886755107836,0.049689,49.29119,0.01,0
52,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,5,2.3,0.0637329066415099,0.063733,39.969441,0.01,0
53,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5,0.0476990913199116,0.047699,40.241958,0.01,0
54,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,5,1.6,0.042043189725538103,0.042043,41.20427,0.01,0
55,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.0337249226640393,0.033725,46.05267,0.01,0
56,hford,32,hexagonal,4,8,L2norm,noPCA,1500,0.05,0.01,6,2,0.0490165243857655,0.049017,41.5568,0.01,0
57,hford,36,hexagonal,4,9,L2norm,noPCA,1500,0.05,0.01,6,2.3,0.0548746200988869,0.054875,44.372229,0.01,0
58,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,6,2.5,0.0483947225535944,0.048395,40.407431,0.01,0
59,hford,40,hexagonal,5,8,L2norm,noPCA,1500,0.05,0.01,6,1.6,0.0520611457946,0.052061,44.591495,0.01,0
60,hford,45,hexagonal,5,9,L2norm,noPCA,1500,0.05,0.01,6,1.8,0.0262412941624835,0.026241,42.158477,0.01,0
