site,SOM,event_start,season,clust_wat_4cl,clust_wat_5cl,clust_wat_6cl,NO3_kg_km2,SRP_kg_km2,event_NO3_SRP,turb_kg_km2,turb_event_max,rain_event_total_mm,rain_event_hrs,rain_int_mmPERmin_max,API_4d,q_event_max,solarRad_4d,q_4d,SoilTemp_pre_wet_15cm,VWC_pre_wet_15cm,time_sinceLastEvent,diff_airT_soilT,gw_1d_well1,gw_1d_well3,gw_1d_well5,gw_1d_well7,gw_1d_allWells,gw_4d_well1,gw_4d_well3,gw_4d_well5,gw_4d_well7,gw_4d_allWells
Hungerford,turb_kg_km2,2017-11-25 22:15:00,fall,1,4,4,NA,NA,NA,NA,10.037333333333333,8.4,16.083333333333332,0.08,11.014993749999999,2.805947578,31.157118055555557,1.4457830512578125,0.14076515149200713,0.89521226859572,2.4270833333333335,3.9457291666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,turb_kg_km2,2017-11-28 08:00:00,fall,1,4,5,50.11288372254524,0.12094324420219217,916.262570857166,123.90160487533979,18.633333333333333,4.6000000000000005,58.5,0.12,11.80195,1.862932544,28.026041666666668,1.6997662001848959,0.11800413275124262,0.9121201041361707,0.22916666666666666,-10.794583333333332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,turb_kg_km2,2018-04-04 02:30:00,spring,1,4,4,13.101435428759409,0.025344176328233645,1143.1227411750901,501.46786290378,142.13533333333334,14.4,16.333333333333332,0.12,14.914425,4.378217745,179.00086805555554,1.8612199922890624,0.10315362008551358,0.9907257879516089,3.6458333333333335,0.3738888888888887,-0.16428013468013467,-0.08661019202441078,-0.2588753682659933,-0.9384486005892256,0.7609830277709989,-0.15539921085858585,-0.08090021425189393,-0.25084655145202023,-0.8590520701809764,0.7326710785304252
Hungerford,turb_kg_km2,2018-04-12 18:15:00,spring,1,4,4,5.693493592712726,8.090242274394761e-4,15562.145597543737,77.04234537097355,53.638666666666666,10.8,28.166666666666668,0.12,10.8,2.102315436,186.06423611111111,0.804747474,0.07281348554866622,0.9599621288883937,7.395833333333333,2.798385416666666,-0.2005219476010101,-0.10699716372053872,-0.31635995370370373,-1.0303315446127945,0.8449945141672792,-0.19512670059974746,-0.09689639551767677,-0.32270573653198653,-1.007051970223064,0.8346978426868629
Hungerford,turb_kg_km2,2018-04-13 21:30:00,spring,1,4,4,14.295955118048399,0.11616479384916988,272.1390192758514,344.354519659683,139.45466666666667,11,42.75,0.08,19.1985,3.750368678,148.56597222222223,0.9715506062968751,0.23593633058638633,0.9589457025186221,0.010416666666666666,0.1650694444444447,-0.1857274537037037,-0.12337192845117845,-0.24113756313131313,-0.9165051704545455,0.9023295445627311,-0.1934548016624579,-0.10652147514204545,-0.3063849610690236,-0.9930344549663299,0.8442195699507867
Hungerford,turb_kg_km2,2018-04-16 06:00:00,spring,1,4,4,45.81455611403263,0.7396114153932145,136.97838545578537,2106.1991320254465,489.77466666666663,14,47.25,0.12,30.9631525,6.473370514,87.27777777777777,1.7131403339140625,0.09513899538688286,0.9590961575024161,0.6041666666666666,-2.695277777777778,-0.1795385101010101,-0.08550556165824916,-0.24179482323232324,-0.9357538930976431,0.901028791239958,-0.18542341593013467,-0.09930408664772727,-0.24988767518939395,-0.9181133914667509,0.8864791465218325
Hungerford,turb_kg_km2,2018-04-20 14:45:00,spring,1,4,4,8.256548548776403,6.736066992479384e-4,27104.68138693217,25.626034390938464,10.868,0.6000000000000001,0.9166666666666666,0.04,12.69357125,1.644675176,79.84201388888889,2.829673079697917,0.13684786826435733,0.9600473101257548,2.0520833333333335,-2.546423611111111,-0.18425132470538721,-0.09572536100589225,-0.2475533291245791,-0.906763818392256,0.9038546648929432,-0.16252919533880472,-0.07784144591750841,-0.23075554608585858,-0.7922757165404041,0.9344055209915382
Hungerford,turb_kg_km2,2018-04-25 14:00:00,spring,2,5,6,32.98749786423338,1.4122193287241507,51.653456574472756,1307.7974010090386,227.18066666666667,34.2,66.5,0.12,34.2,6.455614798,237.44444444444446,1.0178471373463542,0.2697080759755408,0.9418070925779094,4.072916666666667,7.436909722222222,-0.23043638047138046,-0.13265027041245792,-0.37646454124579126,-1.0126561447811446,0.8214006854806254,-0.21290667902988217,-0.11215610008943602,-0.3222785135206229,-0.9850047119633838,0.836099443455255
Hungerford,turb_kg_km2,2018-04-29 07:30:00,spring,2,5,6,49.00558817901909,1.3827637426820774,78.3699894002147,2221.8708865024323,275.132,29.6,56.25,0.08,60.124663749999996,7.963940085,103.80729166666667,2.7050226680520835,0.4030938799112563,0.9399345308628385,1.2604166666666667,0.6335069444444432,-0.17278002735690237,-0.09964682859848485,-0.2405163667929293,-0.8945857533670034,0.9136217039596962,-0.16960059632786195,-0.08937835277251684,-0.23133694812710437,-0.8007807504734848,0.9325895745791046
Hungerford,turb_kg_km2,2018-05-03 08:45:00,spring,1,4,4,14.941645572821384,0.23241148828551236,142.1651029887792,208.3028970066519,109.654,10.200000000000001,33.25,0.24,33.9946025,3.711320817,127.62239583333333,3.4778426148854167,0.46969235240555784,0.9338050853833063,1.75,7.932048611111112,-0.19539227062289563,-0.11000322211700336,-0.2597666245791246,-0.9136052451599327,0.8887851887251305,-0.1693687105429293,-0.09686905463489057,-0.2210110516624579,-0.7357405521359428,0.9462035904936827
