Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59
 1,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,4,2.0,0.0509856871613448,0.050986,50.881589,0.01,0,2,2,2,2,2,2,2,2,2,4,4,2,2,1,1,1,1,1,1,1,1,1,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,4,2,2,1,1,1,1,1,2,3,2,2,4
 2,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,4,2.3,0.0495148718364839,0.049515,46.206955,0.01,0,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,1,1,1,1,1,1,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,1,1,1,2,1,2,2,4
 3,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,4,2.5,0.0422932050300518,0.042293,51.210367,0.01,0,2,1,1,2,1,1,1,1,1,4,4,1,1,2,2,2,2,3,3,2,2,2,4,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,3,3,3,3,1,4,1,2,4
 4,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,4,1.6,0.0401110407501979,0.040111,54.13329,0.01,0,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,3,4,4,3,3,3,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,4,4,4,3,1,3,1,1,2
 5,hford,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,4,1.8,0.0402494631341155,0.040249,48.127763,0.01,0,1,1,1,1,1,1,1,1,1,1,2,1,1,3,3,3,3,3,3,3,3,3,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,3,3,3,1,3,1,1,2
 6,hford,32,hexagonal,4, 8,L2norm,noPCA,1500,0.05,0.01,5,2.0,0.0673928159555665,0.067393,48.111418,0.01,0,1,1,1,1,1,1,1,1,1,1,4,1,2,2,2,2,3,3,3,3,5,5,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,2,4,4,2,2,3,3,3,3,3,1,5,1,1,4
 7,hford,36,hexagonal,4, 9,L2norm,noPCA,1500,0.05,0.01,5,2.3,0.0397856378857063,0.039786,42.119574,0.01,0,1,1,1,4,1,1,1,1,1,3,3,1,1,2,2,2,2,2,2,2,2,2,5,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,3,1,1,2,2,2,2,2,1,2,1,1,5
 8,hford,40,hexagonal,4,10,L2norm,noPCA,1500,0.05,0.01,5,2.5,0.047387569561339,0.047388,48.827474,0.01,0,5,5,5,5,5,5,5,5,5,4,4,5,5,2,2,2,1,1,1,1,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,1,1,1,1,1,5,2,5,5,3
 9,hford,40,hexagonal,5, 8,L2norm,noPCA,1500,0.05,0.01,5,1.6,0.0459981817774919,0.045998,47.167933,0.01,0,1,1,1,4,1,1,1,5,3,5,5,1,1,1,1,2,2,2,2,2,2,4,5,1,1,1,4,3,3,3,3,3,3,3,3,3,3,1,1,1,5,1,5,1,1,5,5,1,1,2,2,2,2,5,1,5,1,5,5
10,hford,45,hexagonal,5, 9,L2norm,noPCA,1500,0.05,0.01,5,1.8,0.031073462244993,0.031073,43.945787,0.01,0,1,1,1,1,1,1,1,1,1,2,2,2,1,5,5,5,4,5,5,4,4,4,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,5,5,5,5,4,1,4,1,1,3
